case_id,round,company,subject_table,subject_id,metric_key,flag_code,severity,status,value_raw,value_normalized,alternative_value,source_page,source_box_label,evidence,resolution_note
s1_outline_115,1次,株式会社国際エキスプレス,cases,s1_outline_115,,COST_TEXT_NUMERIC_MISMATCH,critical,unresolved,,4700.0,project_cost=4700.0; subsidy=1600.0; project_cost=5180.0,2,,見出し事業費47億円（16億円）。拠点別記載合計51.8億円で差異あり。,本文・Box候補と代表値を併存。分析前にcost_amount_candidates.csvで確認
s1_outline_115,1次,株式会社国際エキスプレス,cases,s1_outline_115,,MULTIPLE_COST_VALUES_PRESENT,warning,open_context_check,,,,,,"project_cost:[4700.0, 5180.0]",総投資額・補助対象経費・内訳の概念差を確認
s1_outline_115,1次,株式会社国際エキスプレス,cases,s1_outline_115,,MULTIPLE_INVESTMENT_REVIEW_REQUIRED,warning,unresolved,,,,,,本文に複数案件を示唆する表現あり,
s1_outline_116,1次,株式会社かねふくめんたいパーク,cases,s1_outline_116,,COST_TEXT_NUMERIC_MISMATCH,critical,unresolved,,1200.0,project_cost=1200.0; subsidy=140.0; project_cost=1400.0,2,,見出し事業費12億円（1.4億円）。設備明細は合計14.0億円と明記。,本文・Box候補と代表値を併存。分析前にcost_amount_candidates.csvで確認
s1_outline_116,1次,株式会社かねふくめんたいパーク,sales_series,s1_outline_116_sales_02,sales,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,128,,increase_rate / target_base_ratio / cagr,1,,2028年7月度までに（対2023年7月度比）グループ全体の売上高成長率128%、増加額+67億円,記載率が増加率・到達率・年平均率のいずれか確定できない
s1_outline_116,1次,株式会社かねふくめんたいパーク,cases,s1_outline_116,,MIXED_ENTITY_METRICS,warning,resolved,,,,,,"applicant, group",
s1_outline_116,1次,株式会社かねふくめんたいパーク,cases,s1_outline_116,,MULTIPLE_COST_VALUES_PRESENT,warning,open_context_check,,,,,,"project_cost:[1200.0, 1400.0]",総投資額・補助対象経費・内訳の概念差を確認
s1_outline_116,1次,株式会社かねふくめんたいパーク,cases,s1_outline_116,,MULTIPLE_SALES_SERIES,warning,resolved,,2,,,,s1_outline_116_sales_01:applicant; s1_outline_116_sales_02:group,代表系列=s1_outline_116_sales_01
s1_outline_117,1次,信越理研株式会社,cases,s1_outline_117,,COST_TEXT_NUMERIC_MISMATCH,critical,unresolved,,4400.0,project_cost=4500.0,2,,見出し44億円（12億円）。本文には事業費45億円との記載もあり。,本文・Box候補と代表値を併存。分析前にcost_amount_candidates.csvで確認
s1_outline_117,1次,信越理研株式会社,cases,s1_outline_117,,MULTIPLE_INVESTMENT_REVIEW_REQUIRED,warning,unresolved,,,,,,本文に複数案件を示唆する表現あり,
s1_outline_118,1次,クリエイトワン株式会社,cases,s1_outline_118,,MULTIPLE_INVESTMENT_REVIEW_REQUIRED,warning,unresolved,,,,,,本文に複数案件を示唆する表現あり,
s1_outline_119,1次,株式会社フルヤ金属,cases,s1_outline_119,,MIXED_ENTITY_METRICS,warning,resolved,,,,,,group,
s1_outline_120,1次,旭陽電気株式会社,sales_series,s1_outline_120_sales_01,sales,PERIOD_AMBIGUOUS,warning,unresolved,現状 -> 2029年3月期, -> 2029,,1,,2029年3月期売上140億円、増加額80億円、年平均成長率18%。現状の倍以上。,
s1_outline_123,1次,株式会社タケエイ,cases,s1_outline_123,,MIXED_ENTITY_METRICS,warning,resolved,,,,,,"applicant, group",
s1_outline_123,1次,株式会社タケエイ,cases,s1_outline_123,,MULTIPLE_SALES_SERIES,warning,resolved,,2,,,,s1_outline_123_sales_01:applicant; s1_outline_123_sales_02:group,代表系列=s1_outline_123_sales_01
s1_outline_125,1次,株式会社ミダック,cases,s1_outline_125,,MULTIPLE_SALES_SERIES,warning,resolved,,2,,,,s1_outline_125_sales_01:applicant; s1_outline_125_sales_02:applicant,代表系列=s1_outline_125_sales_01
s1_outline_126,1次,高末株式会社,cases,s1_outline_126,,MULTIPLE_INVESTMENT_REVIEW_REQUIRED,warning,unresolved,,,,,,本文に複数案件を示唆する表現あり,
s1_outline_127,1次,株式会社ユニワールド,cases,s1_outline_127,,MIXED_ENTITY_METRICS,warning,resolved,,,,,,"applicant, existing_business",
s1_outline_127,1次,株式会社ユニワールド,cases,s1_outline_127,,MULTIPLE_SALES_SERIES,warning,resolved,,4,,,,s1_outline_127_sales_01:applicant; s1_outline_127_sales_02:existing_business; s1_outline_127_sales_03:existing_business; s1_outline_127_sales_04:applicant,代表系列=s1_outline_127_sales_01
s1_outline_130,1次,小林酒造株式会社,cases,s1_outline_130,,MULTIPLE_COST_VALUES_PRESENT,warning,open_context_check,,,,,,"subsidy:[148.985, 271.015, 420.0]",総投資額・補助対象経費・内訳の概念差を確認
s1_outline_131,1次,株式会社遠藤写真工芸所,cases,s1_outline_131,,REPRESENTATIVE_ENTITY_AMBIGUOUS,critical,unresolved,s1_outline_131_sales_01,,,,,AI画像目視で申請企業系列と確認,申請企業自身の比較系列をPDFで再確認
s1_outline_132,1次,株式会社ヨシノ自動車,cases,s1_outline_132,,MULTIPLE_COST_VALUES_PRESENT,warning,open_context_check,,,,,,"project_cost:[2180.0, 2600.0]",総投資額・補助対象経費・内訳の概念差を確認
s1_outline_132,1次,株式会社ヨシノ自動車,cases,s1_outline_132,,MULTIPLE_INVESTMENT_REVIEW_REQUIRED,warning,unresolved,,,,,,本文に複数案件を示唆する表現あり,
s1_outline_134,1次,株式会社コンメックス,cases,s1_outline_134,,MIXED_ENTITY_METRICS,warning,resolved,,,,,,"applicant, group",
s1_outline_134,1次,株式会社コンメックス,cases,s1_outline_134,,MULTIPLE_SALES_SERIES,warning,resolved,,2,,,,s1_outline_134_sales_01:applicant; s1_outline_134_sales_02:group,代表系列=s1_outline_134_sales_01
s1_outline_136,1次,まねき食品株式会社,cases,s1_outline_136,,REPRESENTATIVE_ENTITY_AMBIGUOUS,critical,unresolved,s1_outline_136_sales_01,,,,,AI画像目視で申請企業系列と確認,申請企業自身の比較系列をPDFで再確認
s1_outline_136,1次,まねき食品株式会社,sales_series,s1_outline_136_sales_01,sales,SALES_ARITHMETIC_MISMATCH,critical,unresolved,120,120,,1,,"2030年8月までに売上高100億円超。直近2023年8月期の全社売上高は47億8,900万円。2030年8月期までの売上高成長率120%、売上高増加額60億円。target_sales_oku=100は「100億円超」の閾値。",
s1_outline_137,1次,総武機械株式会社,cases,s1_outline_137,,MULTIPLE_INVESTMENT_REVIEW_REQUIRED,warning,unresolved,,,,,,本文に複数案件を示唆する表現あり,
s1_outline_139,1次,川﨑工業株式会社,cases,s1_outline_139,,MULTIPLE_SALES_SERIES,warning,resolved,,2,,,,s1_outline_139_sales_01:applicant; s1_outline_139_sales_02:applicant,代表系列=s1_outline_139_sales_01
s1_outline_14,1次,日華化学株式会社,cases,s1_outline_14,,REPRESENTATIVE_ENTITY_AMBIGUOUS,critical,unresolved,s1_outline_14_sales_01,,,,,AI画像目視で申請企業系列と確認,申請企業自身の比較系列をPDFで再確認
s1_outline_14,1次,日華化学株式会社,sales_series,s1_outline_14_sales_02,sales,SALES_ARITHMETIC_MISMATCH,critical,unresolved,,,,1,,化学品事業450億円（+88億円/2030年）。円グラフは2023年361億円、2030年450億円。,
s1_outline_14,1次,日華化学株式会社,cases,s1_outline_14,,MIXED_ENTITY_METRICS,warning,unresolved,,,,,,group,
s1_outline_14,1次,日華化学株式会社,cases,s1_outline_14,,MULTIPLE_SALES_SERIES,warning,unresolved,,3,,,,s1_outline_14_sales_01:group; s1_outline_14_sales_02:group; s1_outline_14_sales_03:group,代表系列=s1_outline_14_sales_01
s1_outline_140,1次,新生電子株式会社,cases,s1_outline_140,,REPRESENTATIVE_ENTITY_AMBIGUOUS,critical,unresolved,s1_outline_140_sales_01,,,,,AI画像目視で申請企業系列と確認,申請企業自身の比較系列をPDFで再確認
s1_outline_140,1次,新生電子株式会社,cases,s1_outline_140,,MULTIPLE_INVESTMENT_REVIEW_REQUIRED,warning,unresolved,,,,,,本文に複数案件を示唆する表現あり,
s1_outline_140,1次,新生電子株式会社,sales_series,s1_outline_140_sales_01,sales,PERIOD_AMBIGUOUS,warning,unresolved,2023年3月期（直前期） -> 2030年3月期（2029年度）, -> 2030,,2,,2030年3月期（2029年度）売上300億円。本文に「コロナ禍や2023年3月期（前期）の業績は回復したものの、売上160億円」と記載。期間の係り方が曖昧なためbaseline_yearは未設定。,
s1_outline_143,1次,株式会社ロッキー,metrics,labor,labor,RATE_ARITHMETIC_MISMATCH,critical,unresolved,22.8,,19.7973,2,目標値,株式会社ロッキー470→869万円/人（+22.8%）,PDF記載率と基準値・目標値・期間からの計算率が1ポイント超相違
s1_outline_143,1次,株式会社ロッキー,cases,s1_outline_143,,REPRESENTATIVE_ENTITY_AMBIGUOUS,critical,unresolved,,,,,,売上について申請企業単体系列の記載なし（労働生産性・給与等の申請企業値とは別）,申請企業自身の比較系列をPDFで再確認
s1_outline_143,1次,株式会社ロッキー,cases,s1_outline_143,,CONSORTIUM_APPLICATION,info,resolved,,2,,,,"株式会社ザ．キッチン
株式会社アールミート",
s1_outline_143,1次,株式会社ロッキー,cases,s1_outline_143,,MIXED_ENTITY_METRICS,warning,unresolved,,,,,,group,
s1_outline_145,1次,株式会社小松電業所,cases,s1_outline_145,,MIXED_ENTITY_METRICS,warning,resolved,,,,,,"applicant, group",
s1_outline_145,1次,株式会社小松電業所,cases,s1_outline_145,,MULTIPLE_SALES_SERIES,warning,resolved,,2,,,,s1_outline_145_sales_01:applicant; s1_outline_145_sales_02:group,代表系列=s1_outline_145_sales_01
s1_outline_148,1次,株式会社しばた工芸,sales_series,s1_outline_148_sales_01,sales,PERIOD_AMBIGUOUS,warning,unresolved,補助事業前 -> 2031年2月期, -> 2031,,1,,2031年2月期70億円。補助事業完了後5年間で+45億円、成長率280%以上。別途2029年2月期50億円。,
s1_outline_150,1次,三笠産業株式会社,cases,s1_outline_150,,MIXED_ENTITY_METRICS,warning,resolved,,,,,,"applicant, group",
s1_outline_150,1次,三笠産業株式会社,cases,s1_outline_150,,MULTIPLE_INVESTMENT_REVIEW_REQUIRED,warning,unresolved,,,,,,本文に複数案件を示唆する表現あり,
s1_outline_150,1次,三笠産業株式会社,cases,s1_outline_150,,MULTIPLE_SALES_SERIES,warning,resolved,,4,,,,s1_outline_150_sales_01:applicant; s1_outline_150_sales_02:group; s1_outline_150_sales_03:applicant; s1_outline_150_sales_04:group,代表系列=s1_outline_150_sales_01
s1_outline_151,1次,四国医療サービス株式会社,cases,s1_outline_151,,MIXED_ENTITY_METRICS,warning,resolved,,,,,,"applicant, project",
s1_outline_151,1次,四国医療サービス株式会社,cases,s1_outline_151,,MULTIPLE_SALES_SERIES,warning,resolved,,2,,,,s1_outline_151_sales_01:applicant; s1_outline_151_sales_02:project,代表系列=s1_outline_151_sales_01
s1_outline_153,1次,株式会社越後屋,sales_series,s1_outline_153_sales_01,sales,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,2741,,increase_rate / target_base_ratio / cagr,1,,"2040年10月期1,000億円、店舗800、成長率2741%、増加965億円",記載率が増加率・到達率・年平均率のいずれか確定できない
s1_outline_154,1次,中央観光株式会社,sales_series,s1_outline_154_sales_01,sales,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,231,,increase_rate / target_base_ratio / cagr,1,,2030年単体売上100億円。2023/7月期比成長率231%、増加50億円,記載率が増加率・到達率・年平均率のいずれか確定できない
s1_outline_154,1次,中央観光株式会社,cases,s1_outline_154,,REPRESENTATIVE_ENTITY_AMBIGUOUS,critical,unresolved,s1_outline_154_sales_01,,,,,AI画像目視で申請企業系列と確認,申請企業自身の比較系列をPDFで再確認
s1_outline_155,1次,株式会社スギノマシン,sales_series,s1_outline_155_sales_01,sales,PERIOD_AMBIGUOUS,warning,unresolved,現状 -> 2029, -> 2029,,1,,2029年売上365億円、現状の約170%、年平均成長率9%,
s1_outline_157,1次,ハマダコンフェクト株式会社,sales_series,s1_outline_157_sales_01,sales,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,35,,increase_rate / target_base_ratio / cagr,1,,2029年度まで売上高成長率35%、増加額52億円,記載率が増加率・到達率・年平均率のいずれか確定できない
s1_outline_159,1次,浦島観光ホテル株式会社,cases,s1_outline_159,,CONSORTIUM_APPLICATION,info,resolved,,2,,,,"株式会社みちのりホテルズ
株式会社丸峰観光ホテル",
s1_outline_159,1次,浦島観光ホテル株式会社,cases,s1_outline_159,,MULTIPLE_INVESTMENT_COMPONENTS,info,resolved,,3,,,,浦島観光ホテル; 丸峰観光ホテル; みちのホテルズ,代表事業費は同一申請内の合計値を使用
s1_outline_159,1次,浦島観光ホテル株式会社,cases,s1_outline_159,,MIXED_ENTITY_METRICS,warning,resolved,,,,,,"affiliate, applicant, group",
s1_outline_159,1次,浦島観光ホテル株式会社,cases,s1_outline_159,,MULTIPLE_SALES_SERIES,warning,resolved,,4,,,,s1_outline_159_sales_01:group; s1_outline_159_sales_02:applicant; s1_outline_159_sales_03:affiliate; s1_outline_159_sales_04:affiliate,代表系列=s1_outline_159_sales_02
s1_outline_16,1次,株式会社旭ウエルテック,sales_series,s1_outline_16_sales_01,sales,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,240,,increase_rate / target_base_ratio / cagr,1,,2029年までのコンソーシアム全体の売上高成長率240%、売上高増加額29.9億円、付加価値額23.4億円（2.49倍UP）。申請企業単独の売上目標は記載なし。,記載率が増加率・到達率・年平均率のいずれか確定できない
s1_outline_16,1次,株式会社旭ウエルテック,cases,s1_outline_16,,REPRESENTATIVE_ENTITY_AMBIGUOUS,critical,unresolved,,,,,,売上について申請企業単体系列の記載なし（労働生産性・給与等の申請企業値とは別）,申請企業自身の比較系列をPDFで再確認
s1_outline_16,1次,株式会社旭ウエルテック,cases,s1_outline_16,,CONSORTIUM_APPLICATION,info,resolved,,2,,,,"株式会社朝日電機製作所
株式会社石川プレート",
s1_outline_16,1次,株式会社旭ウエルテック,cases,s1_outline_16,,MIXED_ENTITY_METRICS,warning,unresolved,,,,,,group,
s1_outline_162,1次,信光陸運株式会社,metrics,employee_pay,employee_pay,PERIOD_AMBIGUOUS,warning,unresolved,20xx年度（基準年度） -> 20xx年度（基準年度＋3年後）, -> ,,2,,530→685、年平均上昇率8.9%,
s1_outline_162,1次,信光陸運株式会社,metrics,employees,employees,PERIOD_AMBIGUOUS,warning,unresolved,20xx年度（基準年度） -> 20xx年度（基準年度＋3年後）, -> ,,2,,136→141,
s1_outline_162,1次,信光陸運株式会社,metrics,labor,labor,PERIOD_AMBIGUOUS,warning,unresolved,20xx年度（基準年度） -> 20xx年度（基準年度＋3年後）, -> ,,2,,"897→1,332、年平均上昇率14.1%",
s1_outline_162,1次,信光陸運株式会社,metrics,officer_pay,officer_pay,PERIOD_AMBIGUOUS,warning,unresolved,20xx年度（基準年度） -> 20xx年度（基準年度＋3年後）, -> ,,2,,"1,753→2,033、年平均上昇率5.1%",
s1_outline_164,1次,株式会社福砂屋グループ,cases,s1_outline_164,,COST_TEXT_NUMERIC_MISMATCH,critical,unresolved,,5500.0,project_cost=5500.0; subsidy=1700.0; project_cost=5270.0,2,,右上見出しは事業費55億円（補助額17億円）。一方、本文見出しに総額50.3億円、明細合計は52.7億円。,本文・Box候補と代表値を併存。分析前にcost_amount_candidates.csvで確認
s1_outline_164,1次,株式会社福砂屋グループ,cases,s1_outline_164,,REPRESENTATIVE_ENTITY_AMBIGUOUS,critical,unresolved,s1_outline_164_sales_01,,,,,AI画像目視で申請企業系列と確認,申請企業自身の比較系列をPDFで再確認
s1_outline_164,1次,株式会社福砂屋グループ,cases,s1_outline_164,,MIXED_ENTITY_METRICS,warning,unresolved,,,,,,"group, subsidiary",
s1_outline_164,1次,株式会社福砂屋グループ,cases,s1_outline_164,,MULTIPLE_COST_VALUES_PRESENT,warning,open_context_check,,,,,,"project_cost:[5270.0, 5500.0]",総投資額・補助対象経費・内訳の概念差を確認
s1_outline_164,1次,株式会社福砂屋グループ,cases,s1_outline_164,,MULTIPLE_SALES_SERIES,warning,unresolved,,2,,,,s1_outline_164_sales_01:group; s1_outline_164_sales_02:subsidiary,代表系列=s1_outline_164_sales_01
s1_outline_166,1次,株式会社福地建設,sales_series,s1_outline_166_sales_01,sales,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,636,,increase_rate / target_base_ratio / cagr,1,,2023年決算比、2030年までに売上高成長636%、売上高増加495億円。,記載率が増加率・到達率・年平均率のいずれか確定できない
s1_outline_167,1次,銘建工業株式会社,cases,s1_outline_167,,REPRESENTATIVE_ENTITY_AMBIGUOUS,critical,unresolved,s1_outline_167_sales_01,,,,,AI画像目視で申請企業系列と確認,申請企業自身の比較系列をPDFで再確認
s1_outline_167,1次,銘建工業株式会社,sales_series,s1_outline_167_sales_01,sales,SALES_ARITHMETIC_MISMATCH,critical,unresolved,44.1,44.1,,1,,2023年12月期実績約300億円。2029年売上436億円、増加133億円、成長44.1%。,
s1_outline_168,1次,株式会社大真空,sales_series,s1_outline_168_sales_02,sales,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,72,,increase_rate / target_base_ratio / cagr,1,,連結：2030年3月期までに売上高成長率72%、増加額380億円（基準年2027年3月期）。,記載率が増加率・到達率・年平均率のいずれか確定できない
s1_outline_168,1次,株式会社大真空,cases,s1_outline_168,,MIXED_ENTITY_METRICS,warning,resolved,,,,,,"applicant, group",
s1_outline_168,1次,株式会社大真空,cases,s1_outline_168,,MULTIPLE_SALES_SERIES,warning,resolved,,2,,,,s1_outline_168_sales_01:applicant; s1_outline_168_sales_02:group,代表系列=s1_outline_168_sales_01
s1_outline_169,1次,サトウ食品株式会社,sales_series,s1_outline_169_sales_01,sales,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,100,,increase_rate / target_base_ratio / cagr,1,,10年前と比較して当社売上高・生産量は約2倍。将来の定量売上目標は記載なし。,記載率が増加率・到達率・年平均率のいずれか確定できない
s1_outline_169,1次,サトウ食品株式会社,cases,s1_outline_169,,REPRESENTATIVE_ENTITY_AMBIGUOUS,critical,unresolved,s1_outline_169_sales_01,,,,,AI画像目視で申請企業系列と確認,申請企業自身の比較系列をPDFで再確認
s1_outline_170,1次,株式会社光製作所,sales_series,s1_outline_170_sales_01,sales,RATE_DEFINITION_AMBIGUOUS,critical,unresolved,272,,increase_rate / target_base_ratio / cagr,1,,2029年までの会社全体の売上高成長率272%、売上高増加額26億円。基準年度は記載なし。,記載率が増加率・到達率・年平均率のいずれか確定できない
s1_outline_171,1次,昭和産業株式会社,cases,s1_outline_171,,COST_TEXT_NUMERIC_MISMATCH,critical,unresolved,,2500.0,project_cost=2500.0; subsidy=780.0; project_cost=2360.0,2,,事業費25億円（補助額7.8億円）。明細合計23.6億円。,本文・Box候補と代表値を併存。分析前にcost_amount_candidates.csvで確認
s1_outline_171,1次,昭和産業株式会社,cases,s1_outline_171,,MULTIPLE_COST_VALUES_PRESENT,warning,open_context_check,,,,,,"project_cost:[2360.0, 2500.0]",総投資額・補助対象経費・内訳の概念差を確認
s1_outline_173,1次,中央紙通商株式会社,cases,s1_outline_173,,MIXED_ENTITY_METRICS,warning,resolved,,,,,,"applicant, group",
s1_outline_173,1次,中央紙通商株式会社,cases,s1_outline_173,,MULTIPLE_INVESTMENT_REVIEW_REQUIRED,warning,unresolved,,,,,,本文に複数案件を示唆する表現あり,
