case_id,round,company,component_id,component_index,component_label,component_type,classification_confidence,entity_name,entity_relation,amount_value_raw,amount_unit_raw,project_cost_million_yen_normalized,subsidy_million_yen_normalized,included_in_representative_total,source_page,raw_evidence,source_json,pdf_url
s1_outline_130,1次,小林酒造株式会社,s1_outline_130_investment_2,2,ウイスキー生産設備拡充,cost_category,medium,,,491.6505,百万円,491.6505,148.985,false,2,,"{""label"":""ウイスキー生産設備拡充"",""cost_million_yen"":491.6505,""subsidy_million_yen"":148.985}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_130.pdf
s1_outline_132,1次,株式会社ヨシノ自動車,s1_outline_132_investment_1,1,建物,cost_category,medium,,,2000,百万円,2000.0,,false,2,,"{""label"":""建物"",""cost_million_yen"":2000}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_132.pdf
s1_outline_132,1次,株式会社ヨシノ自動車,s1_outline_132_investment_2,2,機械設備（リフト等）,cost_category,medium,,,180,百万円,180.0,,false,2,,"{""label"":""機械設備（リフト等）"",""cost_million_yen"":180}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_132.pdf
s1_outline_139,1次,川﨑工業株式会社,s1_outline_139_investment_1,1,機械装置費（内訳合計）,total,high,,,5014,百万円,5014.0,,false,2,,"{""label"":""機械装置費（内訳合計）"",""cost_million_yen"":5014}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_139.pdf
s1_outline_14,1次,日華化学株式会社,s1_outline_14_investment_1,1,福井スマートファクトリー,unspecified,low,,,,,,,false,2,,"{""label"":""福井スマートファクトリー""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_14.pdf
s1_outline_141,1次,共栄フード株式会社,s1_outline_141_investment_1,1,建物,cost_category,medium,,,5300,百万円,5300.0,,false,2,,"{""label"":""建物"",""million_yen"":5300}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_141.pdf
s1_outline_141,1次,共栄フード株式会社,s1_outline_141_investment_2,2,機械装置,cost_category,medium,,,3710,百万円,3710.0,,false,2,,"{""label"":""機械装置"",""million_yen"":3710}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_141.pdf
s1_outline_141,1次,共栄フード株式会社,s1_outline_141_investment_3,3,専門家経費,cost_category,medium,,,30,百万円,30.0,,false,2,,"{""label"":""専門家経費"",""million_yen"":30}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_141.pdf
s1_outline_147,1次,株式会社ｂｕｄ梱包出荷サポート,s1_outline_147_investment_1,1,新倉庫建設,unspecified,low,,,1724,百万円,1724.0,,false,2,,"{""label"":""新倉庫建設"",""million_yen"":1724}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_147.pdf
s1_outline_152,1次,ヤマトミシン製造株式会社,s1_outline_152_investment_1,1,土地取得（補助対象外）,cost_category,medium,,,600,百万円,600.0,,false,2,,"{""label"":""土地取得（補助対象外）"",""million_yen"":600}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_152.pdf
s1_outline_154,1次,中央観光株式会社,s1_outline_154_investment_1,1,6棟18部屋建築,cost_category,medium,,,2100,百万円,2100.0,,false,2,,"{""label"":""6棟18部屋建築"",""million_yen"":2100}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_154.pdf
s1_outline_159,1次,浦島観光ホテル株式会社,s1_outline_159_investment_1,1,浦島観光ホテル,project_or_location,medium,,,6900,百万円,6900.0,,true,2,,"{""label"":""浦島観光ホテル"",""million_yen"":6900}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_159.pdf
s1_outline_159,1次,浦島観光ホテル株式会社,s1_outline_159_investment_2,2,丸峰観光ホテル,project_or_location,medium,,,520,百万円,520.0,,true,2,,"{""label"":""丸峰観光ホテル"",""million_yen"":520}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_159.pdf
s1_outline_159,1次,浦島観光ホテル株式会社,s1_outline_159_investment_3,3,みちのホテルズ,project_or_location,medium,,,170,百万円,170.0,,true,2,,"{""label"":""みちのホテルズ"",""million_yen"":170}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_159.pdf
s1_outline_16,1次,株式会社旭ウエルテック,s1_outline_16_investment_1,1,PSG3社の専用工場・設備・3次元CAD共有,cost_category,medium,,,,,,,false,2,,"{""label"":""PSG3社の専用工場・設備・3次元CAD共有""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_16.pdf
s1_outline_164,1次,株式会社福砂屋グループ,s1_outline_164_investment_1,1,建物,cost_category,medium,,,3400,百万円,3400.0,,false,2,,"{""label"":""建物"",""amount_million_yen"":3400}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_164.pdf
s1_outline_164,1次,株式会社福砂屋グループ,s1_outline_164_investment_2,2,機械設備,cost_category,medium,,,1480,百万円,1480.0,,false,2,,"{""label"":""機械設備"",""amount_million_yen"":1480}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_164.pdf
s1_outline_164,1次,株式会社福砂屋グループ,s1_outline_164_investment_3,3,新商品製造ライン,cost_category,medium,,,140,百万円,140.0,,false,2,,"{""label"":""新商品製造ライン"",""amount_million_yen"":140}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_164.pdf
s1_outline_164,1次,株式会社福砂屋グループ,s1_outline_164_investment_4,4,海外市場構築設備,cost_category,medium,,,100,百万円,100.0,,false,2,,"{""label"":""海外市場構築設備"",""amount_million_yen"":100}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_164.pdf
s1_outline_164,1次,株式会社福砂屋グループ,s1_outline_164_investment_5,5,新システム等,cost_category,medium,,,150,百万円,150.0,,false,2,,"{""label"":""新システム等"",""amount_million_yen"":150}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_164.pdf
s1_outline_166,1次,株式会社福地建設,s1_outline_166_investment_1,1,工場,project_or_location,medium,,,1230,百万円,1230.0,,true,2,,"{""label"":""工場"",""amount_million_yen"":1230}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_166.pdf
s1_outline_166,1次,株式会社福地建設,s1_outline_166_investment_2,2,設備,cost_category,medium,,,870,百万円,870.0,,true,2,,"{""label"":""設備"",""amount_million_yen"":870}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_166.pdf
s1_outline_166,1次,株式会社福地建設,s1_outline_166_investment_3,3,ソフトウェア,cost_category,medium,,,40,百万円,40.0,,true,2,,"{""label"":""ソフトウェア"",""amount_million_yen"":40}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_166.pdf
s1_outline_166,1次,株式会社福地建設,s1_outline_166_investment_4,4,外注,cost_category,medium,,,60,百万円,60.0,,true,2,,"{""label"":""外注"",""amount_million_yen"":60}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_166.pdf
s1_outline_167,1次,銘建工業株式会社,s1_outline_167_investment_1,1,工場建物費,cost_category,medium,,,2500,百万円,2500.0,,false,2,,"{""label"":""工場建物費"",""amount_million_yen"":2500}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_167.pdf
s1_outline_167,1次,銘建工業株式会社,s1_outline_167_investment_2,2,工場内製造ライン設備,cost_category,medium,,,3900,百万円,3900.0,,false,2,,"{""label"":""工場内製造ライン設備"",""amount_million_yen"":3900}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_167.pdf
s1_outline_169,1次,サトウ食品株式会社,s1_outline_169_investment_1,1,機械装置費,cost_category,medium,,,4829.1,百万円,4829.1,,false,2,,"{""label"":""機械装置費"",""amount_million_yen"":4829.1}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_169.pdf
s1_outline_169,1次,サトウ食品株式会社,s1_outline_169_investment_2,2,建物費,cost_category,medium,,,3175.56,百万円,3175.56,,false,2,,"{""label"":""建物費"",""amount_million_yen"":3175.56}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_169.pdf
s1_outline_169,1次,サトウ食品株式会社,s1_outline_169_investment_3,3,外注費,cost_category,medium,,,62.43,百万円,62.43,,false,2,,"{""label"":""外注費"",""amount_million_yen"":62.43}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_169.pdf
s1_outline_17,1次,進工業株式会社,s1_outline_17_investment_1,1,新棟（2024年4月竣工、約47億円）と増産設備,cost_category,medium,,,,,,,false,2,,"{""label"":""新棟（2024年4月竣工、約47億円）と増産設備""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_17.pdf
s1_outline_171,1次,昭和産業株式会社,s1_outline_171_investment_1,1,新工場建設,project_or_location,medium,,,710,百万円,710.0,,false,2,,"{""label"":""新工場建設"",""amount_million_yen"":710}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_171.pdf
s1_outline_171,1次,昭和産業株式会社,s1_outline_171_investment_2,2,メカニカルディスケーラー,unspecified,low,,,50,百万円,50.0,,false,2,,"{""label"":""メカニカルディスケーラー"",""amount_million_yen"":50}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_171.pdf
s1_outline_171,1次,昭和産業株式会社,s1_outline_171_investment_3,3,金網溶接ライン,cost_category,medium,,,680,百万円,680.0,,false,2,,"{""label"":""金網溶接ライン"",""amount_million_yen"":680}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_171.pdf
s1_outline_171,1次,昭和産業株式会社,s1_outline_171_investment_4,4,トラス機ライン,cost_category,medium,,,300,百万円,300.0,,false,2,,"{""label"":""トラス機ライン"",""amount_million_yen"":300}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_171.pdf
s1_outline_171,1次,昭和産業株式会社,s1_outline_171_investment_5,5,鉄筋加工ライン,cost_category,medium,,,320,百万円,320.0,,false,2,,"{""label"":""鉄筋加工ライン"",""amount_million_yen"":320}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_171.pdf
s1_outline_171,1次,昭和産業株式会社,s1_outline_171_investment_6,6,溶接ロボット,unspecified,low,,,150,百万円,150.0,,false,2,,"{""label"":""溶接ロボット"",""amount_million_yen"":150}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_171.pdf
s1_outline_171,1次,昭和産業株式会社,s1_outline_171_investment_7,7,鉄筋自動曲げロボット,unspecified,low,,,150,百万円,150.0,,false,2,,"{""label"":""鉄筋自動曲げロボット"",""amount_million_yen"":150}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_171.pdf
s1_outline_174,1次,株式会社Ｐｌａｎ・Ｄｏ・Ｓｅｅ琉球,s1_outline_174_investment_1,1,建物費,cost_category,medium,,,3690,百万円,3690.0,,true,4,,"{""label"":""建物費"",""amount_million_yen"":3690}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_174.pdf
s1_outline_174,1次,株式会社Ｐｌａｎ・Ｄｏ・Ｓｅｅ琉球,s1_outline_174_investment_2,2,機械装置費,cost_category,medium,,,1310,百万円,1310.0,,true,4,,"{""label"":""機械装置費"",""amount_million_yen"":1310}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_174.pdf
s1_outline_174,1次,株式会社Ｐｌａｎ・Ｄｏ・Ｓｅｅ琉球,s1_outline_174_investment_3,3,ソフトウェア費,cost_category,medium,,,26.34,百万円,26.34,,true,4,,"{""label"":""ソフトウェア費"",""amount_million_yen"":26.34}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_174.pdf
s1_outline_174,1次,株式会社Ｐｌａｎ・Ｄｏ・Ｓｅｅ琉球,s1_outline_174_investment_4,4,外注費,cost_category,medium,,,20.85,百万円,20.85,,true,4,,"{""label"":""外注費"",""amount_million_yen"":20.85}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_174.pdf
s1_outline_177,1次,さいほく鉄工株式会社,s1_outline_177_investment_1,1,工場建屋,cost_category,medium,,,2364,百万円,2364.0,,false,2,,"{""label"":""工場建屋"",""amount_million_yen"":2364}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_177.pdf
s1_outline_177,1次,さいほく鉄工株式会社,s1_outline_177_investment_2,2,機械設備,cost_category,medium,,,122,百万円,122.0,,false,2,,"{""label"":""機械設備"",""amount_million_yen"":122}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_177.pdf
s1_outline_19,1次,株式会社XEN GROUP,s1_outline_19_investment_1,1,大型自動化工場・LAB棟・省エネ設備,cost_category,medium,,,,,,,false,2,,"{""label"":""大型自動化工場・LAB棟・省エネ設備""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_19.pdf
s1_outline_2,1次,株式会社アイ・テック,s1_outline_2_investment_1,1,建物装置費,cost_category,medium,,,5733000,千円,5733.0,,true,2,,"{""label"":""建物装置費"",""amount_thousand_yen"":5733000}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_2.pdf
s1_outline_2,1次,株式会社アイ・テック,s1_outline_2_investment_2,2,機械装置費,cost_category,medium,,,1686100,千円,1686.1,,true,2,,"{""label"":""機械装置費"",""amount_thousand_yen"":1686100}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_2.pdf
s1_outline_20,1次,エスティケイテクノロジー株式会社,s1_outline_20_investment_1,1,新工場建設,project_or_location,medium,,,15.9,億円,1590.0,,false,2,,"{""label"":""新工場建設"",""amount_oku"":15.9}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_20.pdf
s1_outline_20,1次,エスティケイテクノロジー株式会社,s1_outline_20_investment_2,2,板金・溶接加工用設備・システム,cost_category,medium,,,4.9,億円,490.00000000000006,,false,2,,"{""label"":""板金・溶接加工用設備・システム"",""amount_oku"":4.9}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_20.pdf
s1_outline_23,1次,株式会社ジェーイーエル,s1_outline_23_investment_1,1,尾道工場の新設,project_or_location,medium,,,,,,,false,2,尾道工場の新設,"{""label"":""尾道工場の新設"",""amount_million_yen"":null,""raw_evidence"":""尾道工場の新設""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_23.pdf
s1_outline_23,1次,株式会社ジェーイーエル,s1_outline_23_investment_2,2,自動倉庫・三次元測定器・生産管理システム,cost_category,medium,,,,,,,false,2,自動倉庫・三次元測定器・生産管理システム,"{""label"":""自動倉庫・三次元測定器・生産管理システム"",""amount_million_yen"":null,""raw_evidence"":""自動倉庫・三次元測定器・生産管理システム""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_23.pdf
s1_outline_24,1次,株式会社フジキン,s1_outline_24_investment_1,1,建屋建設,cost_category,medium,,,2200,百万円,2200.0,,true,2,建屋建設22億円,"{""label"":""建屋建設"",""amount_million_yen"":2200,""raw_evidence"":""建屋建設22億円""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_24.pdf
s1_outline_24,1次,株式会社フジキン,s1_outline_24_investment_2,2,クリーンルーム,unspecified,low,,,400,百万円,400.0,,true,2,クリーンルーム4億円,"{""label"":""クリーンルーム"",""amount_million_yen"":400,""raw_evidence"":""クリーンルーム4億円""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_24.pdf
s1_outline_24,1次,株式会社フジキン,s1_outline_24_investment_3,3,生産設備等,cost_category,medium,,,1600,百万円,1600.0,,true,2,生産設備等16億円,"{""label"":""生産設備等"",""amount_million_yen"":1600,""raw_evidence"":""生産設備等16億円""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_24.pdf
s1_outline_25,1次,日本リファイン株式会社,s1_outline_25_investment_1,1,全自動蒸留精製塔・タンク増設,unspecified,low,,,,,,,false,2,全自動蒸留精製塔・タンク増設,"{""label"":""全自動蒸留精製塔・タンク増設"",""amount_million_yen"":null,""raw_evidence"":""全自動蒸留精製塔・タンク増設""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_25.pdf
s1_outline_25,1次,日本リファイン株式会社,s1_outline_25_investment_2,2,NMP分散液向け生産設備・建物,cost_category,medium,,,,,,,false,2,NMP分散液向け生産設備・建物,"{""label"":""NMP分散液向け生産設備・建物"",""amount_million_yen"":null,""raw_evidence"":""NMP分散液向け生産設備・建物""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_25.pdf
s1_outline_25,1次,日本リファイン株式会社,s1_outline_25_investment_3,3,工場管理棟・クリーンルーム等,cost_category,medium,,,,,,,false,2,工場管理棟・クリーンルーム等,"{""label"":""工場管理棟・クリーンルーム等"",""amount_million_yen"":null,""raw_evidence"":""工場管理棟・クリーンルーム等""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_25.pdf
s1_outline_26,1次,日星電気株式会社,s1_outline_26_investment_1,1,三方原工場建屋,cost_category,medium,,,,,,,false,2,三方原工場建屋,"{""label"":""三方原工場建屋"",""amount_million_yen"":null,""raw_evidence"":""三方原工場建屋""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_26.pdf
s1_outline_26,1次,日星電気株式会社,s1_outline_26_investment_2,2,通信ケーブル長尺製造設備,cost_category,medium,,,,,,,false,2,通信ケーブル長尺製造設備,"{""label"":""通信ケーブル長尺製造設備"",""amount_million_yen"":null,""raw_evidence"":""通信ケーブル長尺製造設備""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_26.pdf
s1_outline_26,1次,日星電気株式会社,s1_outline_26_investment_3,3,通信ケーブル評価・開発設備,cost_category,medium,,,,,,,false,2,通信ケーブル評価・開発設備,"{""label"":""通信ケーブル評価・開発設備"",""amount_million_yen"":null,""raw_evidence"":""通信ケーブル評価・開発設備""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_26.pdf
s1_outline_26,1次,日星電気株式会社,s1_outline_26_investment_4,4,医療用チューブ長尺設備,cost_category,medium,,,,,,,false,2,医療用チューブ長尺設備,"{""label"":""医療用チューブ長尺設備"",""amount_million_yen"":null,""raw_evidence"":""医療用チューブ長尺設備""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_26.pdf
s1_outline_26,1次,日星電気株式会社,s1_outline_26_investment_5,5,医療用チューブ加工設備,cost_category,medium,,,,,,,false,2,医療用チューブ加工設備,"{""label"":""医療用チューブ加工設備"",""amount_million_yen"":null,""raw_evidence"":""医療用チューブ加工設備""}",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_26.pdf
