case_id,round,company,entity_id,entity_name,entity_relation,is_applicant,is_consortium_member,appears_in_sales_metric,appears_in_labor_metric,appears_in_cost,source_type,source_page,raw_evidence,pdf_url
s1_outline_106,1次,株式会社シーエル,s1_outline_106_entity_1,株式会社シーエル,applicant,true,false,true,true,true,cases.company,,株式会社シーエル,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_106.pdf
s1_outline_106,1次,株式会社シーエル,s1_outline_106_entity_2,単体,applicant,true,false,true,false,false,sales_series,1,"単体81,92,102,112,125,140,157億円（2023～2029年）",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_106.pdf
s1_outline_106,1次,株式会社シーエル,s1_outline_106_entity_3,グループ合計,group,false,false,true,false,false,sales_series,1,"グループ149,170,181,195,217,246,268億円（2023～2029年）",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_106.pdf
s1_outline_107,1次,株式会社ササキ,s1_outline_107_entity_1,株式会社ササキ,applicant,true,false,true,true,true,cases.company,,株式会社ササキ,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_107.pdf
s1_outline_107,1次,株式会社ササキ,s1_outline_107_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,見出し：2030年売上110億円（2023年比273%）。別Boxには成長率13%・増加額70億円と見え、表記矛盾あり。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_107.pdf
s1_outline_108,1次,株式会社ミラプロ,s1_outline_108_entity_1,株式会社ミラプロ,applicant,true,false,true,true,true,cases.company,,株式会社ミラプロ,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_108.pdf
s1_outline_108,1次,株式会社ミラプロ,s1_outline_108_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,2,"2034年売上高1,000億円。グラフはP8参照とあるが公開PDFには含まれない。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_108.pdf
s1_outline_109,1次,マイクロカット株式会社,s1_outline_109_entity_1,マイクロカット株式会社,applicant,true,false,true,true,true,cases.company,,マイクロカット株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_109.pdf
s1_outline_109,1次,マイクロカット株式会社,s1_outline_109_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2030年全体101億円。既存32億円（+9）と補助事業69億円（+53）の合計。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_109.pdf
s1_outline_109,1次,マイクロカット株式会社,s1_outline_109_entity_3,既存事業,existing_business,false,false,true,false,false,sales_series,1,既存事業32億円、+9億円、+36%,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_109.pdf
s1_outline_109,1次,マイクロカット株式会社,s1_outline_109_entity_4,補助事業,project,false,false,true,false,false,sales_series,1,補助事業69億円、+53億円、+349%,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_109.pdf
s1_outline_11,1次,大峰堂薬品工業株式会社,s1_outline_11_entity_1,大峰堂薬品工業株式会社,applicant,true,false,true,true,true,cases.company,,大峰堂薬品工業株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_11.pdf
s1_outline_11,1次,大峰堂薬品工業株式会社,s1_outline_11_entity_2,会社全体（2030 KPI）,applicant,true,false,true,false,false,sales_series,1,2030年までに全体の売上高増加額70億円（KPI）、成長率90%。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_11.pdf
s1_outline_11,1次,大峰堂薬品工業株式会社,s1_outline_11_entity_3,会社全体（2035 KGI）,applicant,true,false,true,false,false,sales_series,1,2035年までに全体の売上高200億円（KGI）。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_11.pdf
s1_outline_11,1次,大峰堂薬品工業株式会社,s1_outline_11_entity_4,医療用漢方薬,applicant,true,false,true,false,false,sales_series,1,2030年までに医療用漢方薬の売上高増加額15億円、成長率37%。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_11.pdf
s1_outline_11,1次,大峰堂薬品工業株式会社,s1_outline_11_entity_5,一般用漢方薬,applicant,true,false,true,false,false,sales_series,1,2030年までに一般用漢方薬の売上高増加額50億円、成長率155%。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_11.pdf
s1_outline_110,1次,株式会社菰下鎔断,s1_outline_110_entity_1,株式会社菰下鎔断,applicant,true,false,true,true,true,cases.company,,株式会社菰下鎔断,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_110.pdf
s1_outline_110,1次,株式会社菰下鎔断,s1_outline_110_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2028年3月度までに成長率66%（CAGR13.6%）、増加額約82億円、売上205億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_110.pdf
s1_outline_111,1次,株式会社向山工場,s1_outline_111_entity_1,株式会社向山工場,applicant,true,false,true,true,true,cases.company,,株式会社向山工場,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_111.pdf
s1_outline_111,1次,株式会社向山工場,s1_outline_111_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2030年3月までの売上高成長率48%、増加額146億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_111.pdf
s1_outline_112,1次,株式会社八芳園,s1_outline_112_entity_1,株式会社八芳園,applicant,true,false,true,true,true,cases.company,,株式会社八芳園,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_112.pdf
s1_outline_112,1次,株式会社八芳園,s1_outline_112_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,23/9期85.7億円→26/9期114.0億円→29/9期140.0億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_112.pdf
s1_outline_113,1次,トーアス株式会社,s1_outline_113_entity_1,トーアス株式会社,applicant,true,false,true,true,true,cases.company,,トーアス株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_113.pdf
s1_outline_113,1次,トーアス株式会社,s1_outline_113_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,"2028年3月期までの成長率77.6%、増加額3,428百万円",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_113.pdf
s1_outline_113,1次,トーアス株式会社,s1_outline_113_entity_3,本事業,project,false,false,true,false,false,sales_series,1,"本事業の売上高増加額7,900百万円",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_113.pdf
s1_outline_114,1次,株式会社中西製作所,s1_outline_114_entity_1,株式会社中西製作所,applicant,true,false,true,true,true,cases.company,,株式会社中西製作所,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_114.pdf
s1_outline_114,1次,株式会社中西製作所,s1_outline_114_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2030年までに450億円、2024年3月期比成長率23%、増加額84億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_114.pdf
s1_outline_115,1次,株式会社国際エキスプレス,s1_outline_115_entity_1,株式会社国際エキスプレス,applicant,true,false,true,true,true,cases.company,,株式会社国際エキスプレス,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_115.pdf
s1_outline_115,1次,株式会社国際エキスプレス,s1_outline_115_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2024年104億円→2030年248.6億円、成長率239.0%、増加144.6億円。率は目標/基準比。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_115.pdf
s1_outline_116,1次,株式会社かねふくめんたいパーク,s1_outline_116_entity_1,株式会社かねふくめんたいパーク,applicant,true,false,true,true,true,cases.company,,株式会社かねふくめんたいパーク,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_116.pdf
s1_outline_116,1次,株式会社かねふくめんたいパーク,s1_outline_116_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,会社全体の売上高成長率182%、売上高増加額+33.4億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_116.pdf
s1_outline_116,1次,株式会社かねふくめんたいパーク,s1_outline_116_entity_3,グループ全体,group,false,false,true,false,false,sales_series,1,2028年7月度までに（対2023年7月度比）グループ全体の売上高成長率128%、増加額+67億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_116.pdf
s1_outline_117,1次,信越理研株式会社,s1_outline_117_entity_1,信越理研株式会社,applicant,true,false,true,true,true,cases.company,,信越理研株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_117.pdf
s1_outline_117,1次,信越理研株式会社,s1_outline_117_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2029年度120億円（補助事業100億円+既存20億円）、会社全体成長率246%、増加額71億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_117.pdf
s1_outline_118,1次,クリエイトワン株式会社,s1_outline_118_entity_1,クリエイトワン株式会社,applicant,true,false,true,true,true,cases.company,,クリエイトワン株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_118.pdf
s1_outline_118,1次,クリエイトワン株式会社,s1_outline_118_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2025年から2029年9月期まで、売上高成長率220%、増加額21億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_118.pdf
s1_outline_119,1次,株式会社フルヤ金属,s1_outline_119_entity_1,株式会社フルヤ金属,applicant,true,false,false,true,true,cases.company,,株式会社フルヤ金属,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_119.pdf
s1_outline_119,1次,株式会社フルヤ金属,s1_outline_119_entity_2,会社全体（連結）,group,false,false,true,false,false,sales_series,1,2030年までの会社全体成長率243%、増加額690億円（連結）,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_119.pdf
s1_outline_12,1次,株式会社松岡,s1_outline_12_entity_1,株式会社松岡,applicant,true,false,true,true,true,cases.company,,株式会社松岡,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_12.pdf
s1_outline_12,1次,株式会社松岡,s1_outline_12_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2029年度の売上高は、2023年度の600億円から348億円増（+58%）の948億円（売上高年平均成長率7.9%）を目指す。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_12.pdf
s1_outline_120,1次,旭陽電気株式会社,s1_outline_120_entity_1,旭陽電気株式会社,applicant,true,false,true,true,true,cases.company,,旭陽電気株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_120.pdf
s1_outline_120,1次,旭陽電気株式会社,s1_outline_120_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2029年3月期売上140億円、増加額80億円、年平均成長率18%。現状の倍以上。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_120.pdf
s1_outline_121,1次,土佐鶴酒造株式会社,s1_outline_121_entity_1,土佐鶴酒造株式会社,applicant,true,false,true,true,true,cases.company,,土佐鶴酒造株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_121.pdf
s1_outline_121,1次,土佐鶴酒造株式会社,s1_outline_121_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2029年までに会社全体の売上高成長率189%（2024年9月期比）、売上高増加額10億円（2024年9月期比）,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_121.pdf
s1_outline_122,1次,岸和田製鋼株式会社,s1_outline_122_entity_1,岸和田製鋼株式会社,applicant,true,false,true,true,true,cases.company,,岸和田製鋼株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_122.pdf
s1_outline_122,1次,岸和田製鋼株式会社,s1_outline_122_entity_2,会社全体売上高,applicant,true,false,true,false,false,sales_series,1,売上高 21/3期266億円→30/3期581億円、2029年度までの売上高増加+315億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_122.pdf
s1_outline_123,1次,株式会社タケエイ,s1_outline_123_entity_1,株式会社タケエイ,applicant,true,false,true,true,true,cases.company,,株式会社タケエイ,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_123.pdf
s1_outline_123,1次,株式会社タケエイ,s1_outline_123_entity_2,タケエイ単体,applicant,true,false,true,false,false,sales_series,1,2029年3月期までに(株)タケエイ単体の売上高成長率49%、売上高増加額46億円（2024年3月期決算比）,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_123.pdf
s1_outline_123,1次,株式会社タケエイ,s1_outline_123_entity_3,TREグループ連結,group,false,false,true,false,false,sales_series,1,2029年3月期までにTREグループ連結の売上高成長率29%、売上高増加額271億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_123.pdf
s1_outline_123,1次,株式会社タケエイ,s1_outline_123_entity_4,名称未特定,parent,false,false,false,false,false,narrative_keyword,,親会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_123.pdf
s1_outline_124,1次,株式会社シロ,s1_outline_124_entity_1,株式会社シロ,applicant,true,false,true,true,true,cases.company,,株式会社シロ,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_124.pdf
s1_outline_124,1次,株式会社シロ,s1_outline_124_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2030年までに会社全体の売上高年平均成長率11%、売上高増加額159億円（2024年と比較して）,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_124.pdf
s1_outline_125,1次,株式会社ミダック,s1_outline_125_entity_1,株式会社ミダック,applicant,true,false,true,true,true,cases.company,,株式会社ミダック,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_125.pdf
s1_outline_125,1次,株式会社ミダック,s1_outline_125_entity_2,会社全体・2030年目標,applicant,true,false,true,false,false,sales_series,1,2024年と2030年の売上高の増加額は+66億円、2024年～2030年の売上高平均成長率は+10.7%,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_125.pdf
s1_outline_125,1次,株式会社ミダック,s1_outline_125_entity_3,Challenge 80th・2032年目標,applicant,true,false,true,false,false,sales_series,1,2032年までに現在の売上高と比較して2倍以上を目指す,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_125.pdf
s1_outline_126,1次,高末株式会社,s1_outline_126_entity_1,高末株式会社,applicant,true,false,true,true,true,cases.company,,高末株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_126.pdf
s1_outline_126,1次,高末株式会社,s1_outline_126_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,基準年度:2027年2月期比較。2030年2月期までに会社全体の売上高年平均成長率13.1%、売上高増加額64.8億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_126.pdf
s1_outline_127,1次,株式会社ユニワールド,s1_outline_127_entity_1,株式会社ユニワールド,applicant,true,false,true,true,true,cases.company,,株式会社ユニワールド,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_127.pdf
s1_outline_127,1次,株式会社ユニワールド,s1_outline_127_entity_2,全社売上高,applicant,true,false,true,false,false,sales_series,1,2029年2月期までに全社売上高107.9億円（2024年2月期55.9億円に対し5年間で52億円増）,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_127.pdf
s1_outline_127,1次,株式会社ユニワールド,s1_outline_127_entity_3,PUMA. AT WORK,existing_business,false,false,true,false,false,sales_series,1,2029年2月期までにPUMA. AT WORKで売上高51億円（2024年2月期9億円に対し5年間で42億円増）。全社売上に占める割合47%,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_127.pdf
s1_outline_127,1次,株式会社ユニワールド,s1_outline_127_entity_4,その他商品販売,existing_business,false,false,true,false,false,sales_series,1,その他商品販売についても5年間で約10億円の売上増,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_127.pdf
s1_outline_127,1次,株式会社ユニワールド,s1_outline_127_entity_5,国内長期目標,applicant,true,false,true,false,false,sales_series,1,国内では今後10年以内での売上高150億円を目標,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_127.pdf
s1_outline_128,1次,株式会社ただおザウルス,s1_outline_128_entity_1,株式会社ただおザウルス,applicant,true,false,true,true,true,cases.company,,株式会社ただおザウルス,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_128.pdf
s1_outline_128,1次,株式会社ただおザウルス,s1_outline_128_entity_2,補助事業（全社）の成長目標,applicant,true,false,true,false,false,sales_series,1,"補助事業（全社）の成長目標（2023/7期-2029/7期対比）：売上高2,266百万円（売上高増加額+1,671百万円）、売上高成長率280.8%。基準売上5.95億円は22.66-16.71からの導出値。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_128.pdf
s1_outline_129,1次,株式会社浜屋,s1_outline_129_entity_1,株式会社浜屋,applicant,true,false,true,true,true,cases.company,,株式会社浜屋,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_129.pdf
s1_outline_129,1次,株式会社浜屋,s1_outline_129_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2028年度（2029/9月期）までに会社全体の年平均売上高成長率10.8%、売上高増加額80億円。補助事業完了後3か年の値と注記。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_129.pdf
s1_outline_13,1次,株式会社アロン社,s1_outline_13_entity_1,株式会社アロン社,applicant,true,false,true,true,true,cases.company,,株式会社アロン社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_13.pdf
s1_outline_13,1次,株式会社アロン社,s1_outline_13_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2030年度までの平均売上高成長率10%、売上高増加額16億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_13.pdf
s1_outline_130,1次,小林酒造株式会社,s1_outline_130_entity_1,小林酒造株式会社,applicant,true,false,true,true,true,cases.company,,小林酒造株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_130.pdf
s1_outline_130,1次,小林酒造株式会社,s1_outline_130_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2033年までの会社全体の売上高成長率+275%、売上高増加額33億円。参考:2023年9月決算12億円→2033年9月決算45億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_130.pdf
s1_outline_131,1次,株式会社遠藤写真工芸所,s1_outline_131_entity_1,株式会社遠藤写真工芸所,applicant,true,false,true,true,true,cases.company,,株式会社遠藤写真工芸所,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_131.pdf
s1_outline_131,1次,株式会社遠藤写真工芸所,s1_outline_131_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,売上成長目標:2024年から2029年の5年間。2029年までに会社全体の売上高成長率53.8%CAGR、売上高増加額55.3億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_131.pdf
s1_outline_131,1次,株式会社遠藤写真工芸所,s1_outline_131_entity_3,名称未特定,subsidiary,false,false,false,false,false,narrative_keyword,,子会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_131.pdf
s1_outline_132,1次,株式会社ヨシノ自動車,s1_outline_132_entity_1,株式会社ヨシノ自動車,applicant,true,false,true,true,true,cases.company,,株式会社ヨシノ自動車,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_132.pdf
s1_outline_132,1次,株式会社ヨシノ自動車,s1_outline_132_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2029年度までに会社全体の売上高年平均成長率10%、売上高増加額約47億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_132.pdf
s1_outline_134,1次,株式会社コンメックス,s1_outline_134_entity_1,株式会社コンメックス,applicant,true,false,true,true,true,cases.company,,株式会社コンメックス,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_134.pdf
s1_outline_134,1次,株式会社コンメックス,s1_outline_134_entity_2,株式会社近藤製作所,participant,false,false,false,false,false,cases.other_participants,,株式会社近藤製作所,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_134.pdf
s1_outline_134,1次,株式会社コンメックス,s1_outline_134_entity_3,コンメックス単体,applicant,true,false,true,false,false,sales_series,1,コンメックス（2023年→2029年）会社全体の売上高成長率+250%、会社全体の売上高+30億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_134.pdf
s1_outline_134,1次,株式会社コンメックス,s1_outline_134_entity_4,連結,group,false,false,true,false,false,sales_series,1,連結（2023年→2029年）会社全体の売上高成長率+201%、会社全体の売上高+84億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_134.pdf
s1_outline_135,1次,株式会社永井運送,s1_outline_135_entity_1,株式会社永井運送,applicant,true,false,true,true,true,cases.company,,株式会社永井運送,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_135.pdf
s1_outline_135,1次,株式会社永井運送,s1_outline_135_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2033年度までに会社全体の売上高成長率68.5%、売上高増加額25億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_135.pdf
s1_outline_136,1次,まねき食品株式会社,s1_outline_136_entity_1,まねき食品株式会社,applicant,true,false,true,true,true,cases.company,,まねき食品株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_136.pdf
s1_outline_136,1次,まねき食品株式会社,s1_outline_136_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,"2030年8月までに売上高100億円超。直近2023年8月期の全社売上高は47億8,900万円。2030年8月期までの売上高成長率120%、売上高増加額60億円。target_sales_oku=100は「100億円超」の閾値。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_136.pdf
s1_outline_137,1次,総武機械株式会社,s1_outline_137_entity_1,総武機械株式会社,applicant,true,false,true,true,true,cases.company,,総武機械株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_137.pdf
s1_outline_137,1次,総武機械株式会社,s1_outline_137_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,2030年までに会社全体の売上高成長率157.1%（2023年5月期21.39億円→2030年5月期55億円）、売上高増加額33.61億円。2024年5月期未確定のため2023年5月期参照。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_137.pdf
s1_outline_138,1次,菅野包装資材株式会社,s1_outline_138_entity_1,菅野包装資材株式会社,applicant,true,false,true,true,true,cases.company,,菅野包装資材株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_138.pdf
s1_outline_138,1次,菅野包装資材株式会社,s1_outline_138_entity_2,会社全体,applicant,true,false,true,false,false,sales_series,1,売上成長目標（2023年6月期対比）:2030年までの会社全体の売上高成長率168.5%、売上高増加額73.2億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_138.pdf
s1_outline_139,1次,川﨑工業株式会社,s1_outline_139_entity_1,川﨑工業株式会社,applicant,true,false,true,true,true,cases.company,,川﨑工業株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_139.pdf
s1_outline_139,1次,川﨑工業株式会社,s1_outline_139_entity_2,会社全体・2030目標,applicant,true,false,true,false,false,sales_series,1,2030年3月期までの売上高成長率65.5%（直近期比較）、増加額76.8億円。2023年8月期実績117.3億円、2030年3月期目標194.1億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_139.pdf
s1_outline_139,1次,川﨑工業株式会社,s1_outline_139_entity_3,会社全体・2040目標,applicant,true,false,true,false,false,sales_series,1,2040年3月期目標売上高230.0億円を達成する,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_139.pdf
s1_outline_14,1次,日華化学株式会社,s1_outline_14_entity_1,日華化学株式会社,applicant,true,false,false,true,true,cases.company,,日華化学株式会社,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_14.pdf
