case_id,round,company,metric,metric_key,status,validation,base_period_label,base_year,base_value,base_year_before_correction,base_year_after_correction,base_year_correction_method,base_year_correction_confidence,target_period_label,target_year,target_value,target_year_before_correction,target_year_after_correction,target_year_correction_method,target_year_correction_confidence,unit,base_value_raw,target_value_raw,unit_raw,base_value_man_yen_per_person,target_value_man_yen_per_person,normalized_unit,unit_conversion_factor,unit_evidence_source,unit_evidence_text,unit_validation,source_box_type,source_box_no,source_box_label,source_box_match_method,source_entity_label,entity_match_status,listed_rate_pct,calculated_rate_pct,rate_diff_pt,source_method,page,year_status,issues,raw_support,raw,rate_only,rate_value_raw,rate_numeric_pct,rate_definition,rate_interpretation_status,rate_implied_target_value,rate_reconciliation_status,rate_interpretation_note,rate_ambiguous
s1_outline_100,1次,マリンフード株式会社,役員1人当たり給与支給総額,officer_pay,full_values,AI画像目視確認済み（値・率あり）,2026年度,2026,3069,2026,2026,existing_normalized_year,high,2029年度,2029,3453,2029,2029,existing_normalized_year,high,万円/人,3069,3453,万円/人,3069,3453,万円/人,1.0,unit_not_found_in_box,"）、自動計量器を導入し省力・省人化で労働
して長期成長ビジョンに掲げる国内代替食品業
高騰により自社存続をかけて開発、商品化した植物油
続可能な発展(サスティナビリティ)、食物アレルギーにも対
られる供給が出来ておらず、追随する新規参入に先んじ
目指す。
賀県長浜市の工場脇スペースに増設）
自動倉庫（スティリーノ冷却システム）、自動計量器、ラ",manual_audit_unit,long_term_vision,1,長期成長ビジョン（目指す姿・ビジネスモデル）,case_page_box,マリンフード株式会社,applicant_company_representative,4,4.008,0.008,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,"役員給与3,069→3,453（+4.0%）",false,4%,4.0,annual_average_increase_rate,resolved_by_arithmetic,3452.207616,consistent,基準値・目標値・期間から計算した年平均率と整合,false
s1_outline_100,1次,マリンフード株式会社,補助事業に係る従業員数,employees,values_without_rate,AI画像目視確認済み（値のみ）,2026年度,2026,225,2026,2026,existing_normalized_year,high,2029年度,2029,298,2029,2029,existing_normalized_year,high,人,225,298,人,,,人,1,unit_not_found_in_box,"）、自動計量器を導入し省力・省人化で労働
して長期成長ビジョンに掲げる国内代替食品業
高騰により自社存続をかけて開発、商品化した植物油
続可能な発展(サスティナビリティ)、食物アレルギーにも対
られる供給が出来ておらず、追随する新規参入に先んじ
目指す。
賀県長浜市の工場脇スペースに増設）
自動倉庫（スティリーノ冷却システム）、自動計量器、ラ",manual_audit_unit,long_term_vision,1,長期成長ビジョン（目指す姿・ビジネスモデル）,case_page_box,マリンフード株式会社,applicant_company_representative,,9.8191,,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,従業員数225→298,false,,,not_stated,not_applicable,,not_testable,率の記載なし,false
s1_outline_101,1次,株式会社正興電機製作所,労働生産性,labor,full_values,AI画像目視確認済み（値・率あり）,2026年度,2026,1027,2026,2026,existing_normalized_year,high,2029年度,2029,1204,2029,2029,existing_normalized_year,high,万円/人,1027,1204,万円/人,1027,1204,万円/人,1.0,box_metric_row,"労働生産性1,204
1,027
(万円)/人（年平均上昇率＋5.45％）
従業員1人あたり※1717
631
給与支給総額（万円/人）（年平均上昇率＋4.35％）
役員1人あたり※21,870
1,616
給与支給総額（万円/人）（年平均上昇率＋5.00％）
",box_confirmed,project_targets,1,目標値,case_page_metric_label,株式会社正興電機製作所,applicant_company_representative,5.45,5.4432,0.0068,ai_visual_manual_audit,5,existing_normalized_year → existing_normalized_year,[],true,"1,027→1,204、+5.45%",false,5.45%,5.45,annual_average_increase_rate,resolved_by_arithmetic,1204.23209,consistent,基準値・目標値・期間から計算した年平均率と整合,false
s1_outline_101,1次,株式会社正興電機製作所,従業員1人当たり給与支給総額,employee_pay,full_values,AI画像目視確認済み（値・率あり）,2026年度,2026,631,2026,2026,existing_normalized_year,high,2029年度,2029,717,2029,2029,existing_normalized_year,high,万円/人,631,717,万円/人,631,717,万円/人,1.0,box_uniform_unit,"2026年度2029年度
項目
（基準年度）（基準年度＋３年後）
労働生産性1,204
1,027
(万円)/人（年平均上昇率＋5.45％）
従業員1人あたり※1717
631
給与支給総額（万円/人）（年平均上昇率＋4.35％）
役員1人あたり※21,870
1,616
給与支給総額（万円/人）（年平均上昇率＋5.00％）
補助事業に係る従業員数
795810
（単位:人）",box_confirmed,project_targets,1,目標値,case_page_box,株式会社正興電機製作所,applicant_company_representative,4.35,4.351,0.001,ai_visual_manual_audit,5,existing_normalized_year → existing_normalized_year,[],true,631→717、+4.35%,false,4.35%,4.35,annual_average_increase_rate,resolved_by_arithmetic,716.979469,consistent,基準値・目標値・期間から計算した年平均率と整合,false
s1_outline_101,1次,株式会社正興電機製作所,役員1人当たり給与支給総額,officer_pay,full_values,AI画像目視確認済み（値・率あり）,2026年度,2026,1616,2026,2026,existing_normalized_year,high,2029年度,2029,1870,2029,2029,existing_normalized_year,high,万円/人,1616,1870,万円/人,1616,1870,万円/人,1.0,box_uniform_unit,"2026年度2029年度
項目
（基準年度）（基準年度＋３年後）
労働生産性1,204
1,027
(万円)/人（年平均上昇率＋5.45％）
従業員1人あたり※1717
631
給与支給総額（万円/人）（年平均上昇率＋4.35％）
役員1人あたり※21,870
1,616
給与支給総額（万円/人）（年平均上昇率＋5.00％）
補助事業に係る従業員数
795810
（単位:人）",box_confirmed,project_targets,1,目標値,case_page_box,株式会社正興電機製作所,applicant_company_representative,5,4.9865,0.0135,ai_visual_manual_audit,5,existing_normalized_year → existing_normalized_year,[],true,"1,616→1,870、+5.00%",false,5%,5.0,annual_average_increase_rate,resolved_by_arithmetic,1870.722,consistent,基準値・目標値・期間から計算した年平均率と整合,false
s1_outline_101,1次,株式会社正興電機製作所,補助事業に係る従業員数,employees,values_without_rate,AI画像目視確認済み（値のみ）,2026年度,2026,795,2026,2026,existing_normalized_year,high,2029年度,2029,810,2029,2029,existing_normalized_year,high,人,795,810,人,,,人,1,box_metric_row,"補助事業に係る従業員数
795810
（単位:人）",box_confirmed,project_targets,1,目標値,case_page_metric_label,株式会社正興電機製作所,applicant_company_representative,,0.625,,ai_visual_manual_audit,5,existing_normalized_year → existing_normalized_year,[],true,795→810,false,,,not_stated,not_applicable,,not_testable,率の記載なし,false
s1_outline_102,1次,冬木工業株式会社,労働生産性,labor,full_values,AI画像目視確認済み（値・率あり）,2026年度,2026,912,2026,2026,existing_normalized_year,high,2029年度,2029,1492,2029,2029,existing_normalized_year,high,万円/人,912,1492,万円/人,912,1492,万円/人,1.0,box_metric_row,"労働生産性1,492
912
（単位:万円/人）（年平均上昇率＋14.5％）
",box_confirmed,project_targets,3,目標値,case_page_metric_label,冬木工業株式会社,applicant_company_representative,14.5,17.8306,3.3306,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,"912→1,492、14.5%",false,14.5%,14.5,annual_average_increase_rate,resolved_by_standard_table_context,1369.024746,mismatch,補助事業目標値表の標準的な年平均上昇率欄として解釈,false
s1_outline_102,1次,冬木工業株式会社,従業員1人当たり給与支給総額,employee_pay,full_values,AI画像目視確認済み（値・率あり）,2026年度,2026,471,2026,2026,existing_normalized_year,high,2029年度,2029,522.5,2029,2029,existing_normalized_year,high,万円/人,471,522.5,万円/人,471,522.5,万円/人,1.0,box_metric_row,"従業員1人あたり給与支給総額522.5
471
（単位:万円/人）（年平均上昇率＋3.52％）
",box_confirmed,project_targets,3,目標値,case_page_metric_label,冬木工業株式会社,applicant_company_representative,3.52,3.5194,0.0006,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,471→522.5、3.52%,false,3.52%,3.52,annual_average_increase_rate,resolved_by_arithmetic,522.508906,consistent,基準値・目標値・期間から計算した年平均率と整合,false
s1_outline_102,1次,冬木工業株式会社,役員1人当たり給与支給総額,officer_pay,rate_only,AI画像目視確認済み（率のみ）,2026年度,2026,,2026,2026,existing_normalized_year,high,2029年度,2029,,2029,2029,existing_normalized_year,high,万円/人,,,万円/人,,,万円/人,1.0,box_metric_row,"役員1人あたり給与支給総額－
ー
（単位:万円/人）（年平均上昇率＋3.03％）
",box_confirmed,project_targets,3,目標値,case_page_metric_label,冬木工業株式会社,applicant_company_representative,3.03,,,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,値は空欄、年平均上昇率3.03%のみ,true,3.03%,3.03,annual_average_increase_rate,resolved_by_explicit_wording,,not_testable,原文に年平均または上昇率の明示あり,false
s1_outline_102,1次,冬木工業株式会社,補助事業に係る従業員数,employees,values_without_rate,AI画像目視確認済み（値のみ）,2026年度,2026,68,2026,2026,existing_normalized_year,high,2029年度,2029,80,2029,2029,existing_normalized_year,high,人,68,80,人,,,人,1,box_metric_row,"補助事業に係る従業員数
6880
（単位:人）",box_confirmed,project_targets,3,目標値,case_page_metric_label,冬木工業株式会社,applicant_company_representative,,5.5667,,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,68→80,false,,,not_stated,not_applicable,,not_testable,率の記載なし,false
s1_outline_103,1次,オーケー化成株式会社,労働生産性,labor,full_values,AI画像目視確認済み（値・率あり）,2027年度,2027,1851,2027,2027,existing_normalized_year,high,2030年度,2030,2592,2030,2030,existing_normalized_year,high,万円/人,1851,2592,万円/人,1851,2592,万円/人,1.0,box_metric_row,"労働生産性2,592
1,851
（単位:万円/人）（年平均上昇率+11.9％）
",box_confirmed,project_targets,2,目標値,case_page_metric_label,オーケー化成株式会社,applicant_company_representative,11.9,11.8775,0.0225,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,"1,851→2,592、11.9%",false,11.9%,11.9,annual_average_increase_rate,resolved_by_arithmetic,2593.562262,consistent,基準値・目標値・期間から計算した年平均率と整合,false
s1_outline_103,1次,オーケー化成株式会社,従業員1人当たり給与支給総額,employee_pay,full_values,AI画像目視確認済み（値・率あり）,2027年度,2027,472,2027,2027,existing_normalized_year,high,2030年度,2030,551,2030,2030,existing_normalized_year,high,万円/人,472,551,万円/人,472,551,万円/人,1.0,box_metric_row,"従業員1人あたり給与支給総額551
472
（単位:万円/人）（年平均上昇率+5.3％）
",box_confirmed,project_targets,2,目標値,case_page_metric_label,オーケー化成株式会社,applicant_company_representative,5.3,5.2939,0.0061,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,472→551、5.3%,false,5.3%,5.3,annual_average_increase_rate,resolved_by_arithmetic,551.095814,consistent,基準値・目標値・期間から計算した年平均率と整合,false
s1_outline_103,1次,オーケー化成株式会社,役員1人当たり給与支給総額,officer_pay,full_values,AI画像目視確認済み（値・率あり）,2027年度,2027,0,2027,2027,existing_normalized_year,high,2030年度,2030,0,2030,2030,existing_normalized_year,high,万円/人,0,0,万円/人,0,0,万円/人,1.0,box_metric_row,"役員1人あたり給与支給総額0
0
（単位:万円/人）（年平均上昇率＋0％）
",box_confirmed,project_targets,2,目標値,case_page_metric_label,オーケー化成株式会社,applicant_company_representative,0,,,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,0→0、0%,false,0%,0.0,annual_average_increase_rate,resolved_by_standard_table_context,0.0,not_testable,補助事業目標値表の標準的な年平均上昇率欄として解釈,false
s1_outline_103,1次,オーケー化成株式会社,補助事業に係る従業員数,employees,values_without_rate,AI画像目視確認済み（値のみ）,2027年度,2027,35,2027,2027,existing_normalized_year,high,2030年度,2030,50,2030,2030,existing_normalized_year,high,人,35,50,人,,,人,1,box_metric_row,"補助事業に係る従業員数
3550
（単位:人）",box_confirmed,project_targets,2,目標値,case_page_metric_label,オーケー化成株式会社,applicant_company_representative,,12.6248,,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,35→50,false,,,not_stated,not_applicable,,not_testable,率の記載なし,false
s1_outline_104,1次,ヤマダイ株式会社,労働生産性,labor,full_values,AI画像目視確認済み（値・率あり）,2026年度,2026,1169,2026,2026,existing_normalized_year,high,2029年度,2029,1489,2029,2029,existing_normalized_year,high,万円/人,1169,1489,万円/人,1169,1489,万円/人,1.0,box_uniform_unit,"2026年度2029年度
項目
（基準年度）（基準年度＋３年後）
（単
労
位
働
：
生
万
産
円
性
/人）
1,169
（年平均上
1,
昇
48
率
9
＋8.4％）
従業員1人あたり給与支給総額550
482
（単位：万円/人）（年平均上昇率＋4.5％）
役員1人あたり給与支給総額-
-
（単位：万円/人）（年平均上昇率＋4.5％）
補助事業に係る従業員数
215225
（単位：人）",box_confirmed,project_targets,1,目標値,case_page_box,ヤマダイ株式会社,applicant_company_representative,8.4,8.3994,0.0006,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,"1,169→1,489、8.4%",false,8.4%,8.4,annual_average_increase_rate,resolved_by_arithmetic,1489.026263,consistent,基準値・目標値・期間から計算した年平均率と整合,false
s1_outline_104,1次,ヤマダイ株式会社,従業員1人当たり給与支給総額,employee_pay,full_values,AI画像目視確認済み（値・率あり）,2026年度,2026,482,2026,2026,existing_normalized_year,high,2029年度,2029,550,2029,2029,existing_normalized_year,high,万円/人,482,550,万円/人,482,550,万円/人,1.0,box_metric_row,"従業員1人あたり給与支給総額550
482
（単位：万円/人）（年平均上昇率＋4.5％）
",box_confirmed,project_targets,1,目標値,case_page_metric_label,ヤマダイ株式会社,applicant_company_representative,4.5,4.4973,0.0027,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,482→550、4.5%,false,4.5%,4.5,annual_average_increase_rate,resolved_by_arithmetic,550.042072,consistent,基準値・目標値・期間から計算した年平均率と整合,false
s1_outline_104,1次,ヤマダイ株式会社,役員1人当たり給与支給総額,officer_pay,rate_only,AI画像目視確認済み（率のみ）,2026年度,2026,,2026,2026,existing_normalized_year,high,2029年度,2029,,2029,2029,existing_normalized_year,high,万円/人,,,万円/人,,,万円/人,1.0,box_metric_row,"役員1人あたり給与支給総額-
-
（単位：万円/人）（年平均上昇率＋4.5％）
",box_confirmed,project_targets,1,目標値,case_page_metric_label,ヤマダイ株式会社,applicant_company_representative,4.5,,,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,値は空欄、年平均上昇率4.5%のみ,true,4.5%,4.5,annual_average_increase_rate,resolved_by_explicit_wording,,not_testable,原文に年平均または上昇率の明示あり,false
s1_outline_104,1次,ヤマダイ株式会社,補助事業に係る従業員数,employees,values_without_rate,AI画像目視確認済み（値のみ）,2026年度,2026,215,2026,2026,existing_normalized_year,high,2029年度,2029,225,2029,2029,existing_normalized_year,high,人,215,225,人,,,人,1,box_metric_row,"補助事業に係る従業員数
215225
（単位：人）",box_confirmed,project_targets,1,目標値,case_page_metric_label,ヤマダイ株式会社,applicant_company_representative,,1.527,,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,215→225,false,,,not_stated,not_applicable,,not_testable,率の記載なし,false
s1_outline_105,1次,中外医薬生産株式会社,労働生産性,labor,full_values,AI画像目視確認済み（値・率あり）,2027年度,2027,877,2027,2027,existing_normalized_year,high,2030年度,2030,1020,2030,2030,existing_normalized_year,high,万円/人,877,1020,万円/人,877,1020,万円/人,1.0,box_metric_row,"労働生産性1,
020
877
（万円/人）（年平均上昇率＋％）
5.2
従業員1人あたり61
8
526
給与支給総額（万円/人）（年平均上昇率＋5.％）
5
役員1人あたり―
―
給与支給総額（万円/人）（年平均上昇率＋8.4％）",box_confirmed,project_targets,2,目標値,case_page_metric_label,中外医薬生産株式会社,applicant_company_representative,5.2,5.1639,0.0361,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,"877→1,020、5.2%",false,5.2%,5.2,annual_average_increase_rate,resolved_by_arithmetic,1021.049537,consistent,基準値・目標値・期間から計算した年平均率と整合,false
s1_outline_105,1次,中外医薬生産株式会社,従業員1人当たり給与支給総額,employee_pay,full_values,AI画像目視確認済み（値・率あり）,2027年度,2027,526,2027,2027,existing_normalized_year,high,2030年度,2030,618,2030,2030,existing_normalized_year,high,万円/人,526,618,万円/人,526,618,万円/人,1.0,box_uniform_unit,"2027年度2030年度
項目
（基準年度）（基準年度＋3年後）
労働生産性1,
020
877
（万円/人）（年平均上昇率＋％）
5.2
従業員1人あたり61
8
526
給与支給総額（万円/人）（年平均上昇率＋5.％）
5
役員1人あたり―
―
給与支給総額（万円/人）（年平均上昇率＋8.4％）",box_confirmed,project_targets,2,目標値,case_page_box,中外医薬生産株式会社,applicant_company_representative,5.5,5.5199,0.0199,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,526→618、5.5%,false,5.5%,5.5,annual_average_increase_rate,resolved_by_arithmetic,617.650963,consistent,基準値・目標値・期間から計算した年平均率と整合,false
s1_outline_105,1次,中外医薬生産株式会社,役員1人当たり給与支給総額,officer_pay,rate_only,AI画像目視確認済み（率のみ）,2027年度,2027,,2027,2027,existing_normalized_year,high,2030年度,2030,,2030,2030,existing_normalized_year,high,万円/人,,,万円/人,,,万円/人,1.0,box_uniform_unit,"2027年度2030年度
項目
（基準年度）（基準年度＋3年後）
労働生産性1,
020
877
（万円/人）（年平均上昇率＋％）
5.2
従業員1人あたり61
8
526
給与支給総額（万円/人）（年平均上昇率＋5.％）
5
役員1人あたり―
―
給与支給総額（万円/人）（年平均上昇率＋8.4％）",box_confirmed,project_targets,2,目標値,case_page_box,中外医薬生産株式会社,applicant_company_representative,8.4,,,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,値は空欄、年平均上昇率8.4%のみ,true,8.4%,8.4,annual_average_increase_rate,resolved_by_explicit_wording,,not_testable,原文に年平均または上昇率の明示あり,false
s1_outline_105,1次,中外医薬生産株式会社,補助事業に係る従業員数,employees,not_stated,AI画像目視確認済み（記載なし）,,,,,,missing,low,,,,,,missing,low,人,,,人,,,人,1,unit_not_found_in_box,"2027年度2030年度
項目
（基準年度）（基準年度＋3年後）
労働生産性1,
020
877
（万円/人）（年平均上昇率＋％）
5.2
従業員1人あたり61
8
526
給与支給総額（万円/人）（年平均上昇率＋5.％）
5
役員1人あたり―
―
給与支給総額（万円/人）（年平均上昇率＋8.4％）",manual_audit_unit,project_targets,2,目標値,case_page_box,中外医薬生産株式会社,applicant_company_representative,,,,ai_visual_manual_audit,2,missing → missing,[],true,従業員数行なし,false,,,not_stated,not_applicable,,not_testable,率の記載なし,false
s1_outline_106,1次,株式会社シーエル,労働生産性,labor,full_values,AI画像目視確認済み（値・率あり）,2026年度,2026,216,2026,2026,existing_normalized_year,high,2029年度,2029,261,2029,2029,existing_normalized_year,high,万円/人,216,261,万円/人,216,261,万円/人,1.0,box_metric_row,"労働生産性261万円
216万円
（万円/人）（年平均上昇率＋6.4％）
従業員1人あたり149万円
128万円
給与支給総額（万円/人）（年平均上昇率＋5.2％）
役員1人あたり-
-
給与支給総額（万円/人）（年平均上昇率＋5.2％）
",box_confirmed,project_targets,1,目標値,case_page_metric_label,株式会社シーエル,applicant_company_representative,6.4,6.5113,0.1113,ai_visual_manual_audit,2,existing_normalized_year → existing_normalized_year,[],true,216→261、6.4%,false,6.4%,6.4,annual_average_increase_rate,resolved_by_arithmetic,260.182831,consistent,基準値・目標値・期間から計算した年平均率と整合,false
