case_id,round,company,automated_candidate_rows,automated_issues,visual_review_status,correction_applied,correction_summary,notes
s2_outline_35,3次,株式会社北海道ちぬやファーム,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_41,3次,藤本化学製品株式会社,1,base_not_found;target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_44,3次,株式会社アヤボ,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_46,3次,カンケンテクノ株式会社,1,target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_49,3次,白鷺特殊鋼株式会社,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_5,3次,奥長良川名水株式会社,2,base_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_51,3次,有楽製菓株式会社,1,base_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_58,3次,巴工業株式会社,4,target_not_found;rate_not_found;base_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_6,3次,株式会社上野凮月堂,2,target_not_found;base_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_60,3次,株式会社トッカコーポレーション,2,target_not_found;base_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_74,3次,株式会社山福,2,target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_8,3次,牛乳石鹸共進社株式会社,1,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_80,3次,株式会社レイズ,1,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_85,3次,Ｌ物流株式会社,1,base_not_found;target_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_89,3次,北海道乳業株式会社,1,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_91,3次,ＫＩＤＯ　ＰＡＣＫＡＧＩＮＧ株式会社,4,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
s2_outline_99,3次,株式会社シュゼット・ホールディングス,3,base_not_found;target_not_found;rate_not_found,confirmed_no_change,no,,Box画像との目視照合で記録値を確認
