case_id,round,company,series_id,series_label,scope,entity_relation,is_primary,is_reported_primary,is_applicant_representative,series_role,representative_reason,baseline_period_label,baseline_year,baseline_month,baseline_year_before_correction,baseline_year_after_correction,baseline_month_before_correction,baseline_month_after_correction,baseline_year_correction_method,baseline_year_correction_confidence,baseline_period_type,baseline_year_status,baseline_sales_oku,target_period_label,target_year,target_month,target_year_before_correction,target_year_after_correction,target_month_before_correction,target_month_after_correction,target_year_correction_method,target_year_correction_confidence,target_period_type,target_year_status,target_sales_oku,increase_oku,growth_rate_pct,cagr_pct,stated_rate_pct,growth_rate_definition,rate_type,extraction_method,confidence,review_required,arithmetic_status,page,raw_fragment,pdf_url
s1_outline_9,1次,株式会社Pale Blue,s1_outline_9_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,,,,,,,,missing,low,missing,記載なし,,2029年度まで,2029,,2029,2029,,,existing_normalized_year,high,manual_label,existing_normalized_year,,,19500,,19500,target_base_ratio,target_base_ratio,ai_visual_manual_audit,high,false,未判定,1,2029年度までの会社全体の売上高成長率195倍。比率表記で、19500%相当として正規化する場合も原文「195倍」を必ず保持。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_9.pdf
s1_outline_10,1次,株式会社プレジィール,s1_outline_10_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2023年9月期,2023,9,2023,2023,9,9,existing_normalized_year,high,manual_label,existing_normalized_year,223,2029年9月期,2029,9,2029,2029,9,9,existing_normalized_year,high,manual_label,existing_normalized_year,800,577,258.7,,258.7,cumulative_increase,cumulative_increase,ai_visual_manual_audit,high,false,整合,1,2023年9月期223億円、2029年9月期800億円、増加額577億円、成長率258.7%。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_10.pdf
s1_outline_11,1次,大峰堂薬品工業株式会社,s1_outline_11_sales_01,会社全体（2030 KPI）,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,,,,,,,,missing,low,missing,記載なし,,2030年まで,2030,,2030,2030,,,existing_normalized_year,high,manual_label,existing_normalized_year,,70,90,,90,cumulative_increase,cumulative_increase,ai_visual_manual_audit,high,false,未判定,1,2030年までに全体の売上高増加額70億円（KPI）、成長率90%。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_11.pdf
s1_outline_11,1次,大峰堂薬品工業株式会社,s1_outline_11_sales_02,会社全体（2035 KGI）,申請企業,applicant,false,false,false,その他系列,,,,,,,,,missing,low,missing,記載なし,,2035年まで,2035,,2035,2035,,,existing_normalized_year,high,manual_label,existing_normalized_year,200,,,,,not_stated,not_stated,ai_visual_manual_audit,high,false,未判定,1,2035年までに全体の売上高200億円（KGI）。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_11.pdf
s1_outline_11,1次,大峰堂薬品工業株式会社,s1_outline_11_sales_03,医療用漢方薬,申請企業,applicant,false,false,false,その他系列,,,,,,,,,missing,low,missing,記載なし,,2030年まで,2030,,2030,2030,,,existing_normalized_year,high,manual_label,existing_normalized_year,,15,37,,37,cumulative_increase,cumulative_increase,ai_visual_manual_audit,high,false,未判定,1,2030年までに医療用漢方薬の売上高増加額15億円、成長率37%。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_11.pdf
s1_outline_11,1次,大峰堂薬品工業株式会社,s1_outline_11_sales_04,一般用漢方薬,申請企業,applicant,false,false,false,その他系列,,,,,,,,,missing,low,missing,記載なし,,2030年まで,2030,,2030,2030,,,existing_normalized_year,high,manual_label,existing_normalized_year,,50,155,,155,cumulative_increase,cumulative_increase,ai_visual_manual_audit,high,false,未判定,1,2030年までに一般用漢方薬の売上高増加額50億円、成長率155%。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_11.pdf
s1_outline_12,1次,株式会社松岡,s1_outline_12_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2023年度,2023,,2023,2023,,,existing_normalized_year,high,manual_label,existing_normalized_year,600,2029年度,2029,,2029,2029,,,existing_normalized_year,high,manual_label,existing_normalized_year,948,348,58,,58,cumulative_increase,cumulative_increase,ai_visual_manual_audit,high,false,整合,1,2029年度の売上高は、2023年度の600億円から348億円増（+58%）の948億円（売上高年平均成長率7.9%）を目指す。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_12.pdf
s1_outline_13,1次,株式会社アロン社,s1_outline_13_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,,,,,,,,missing,low,missing,記載なし,,2030年度まで,2030,,2030,2030,,,existing_normalized_year,high,manual_label,existing_normalized_year,,16,,10,10,cagr,cagr,ai_visual_manual_audit,high,false,未判定,1,2030年度までの平均売上高成長率10%、売上高増加額16億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_13.pdf
s1_outline_14,1次,日華化学株式会社,s1_outline_14_sales_01,日華グループ連結売上,グループ,group,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2023年,2023,,2023,2023,,,existing_normalized_year,high,manual_label,existing_normalized_year,500,2030年,2030,,2030,2030,,,existing_normalized_year,high,manual_label,existing_normalized_year,700,200,,5,5,cagr,cagr,ai_visual_manual_audit,medium,true,整合,1,日華グループ連結売上。2023年は化学品361億円+化粧品139億円=500億円、2030年は化学品450億円+化粧品250億円=700億円。売上高増加額200億円、CAGR5%。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_14.pdf
s1_outline_14,1次,日華化学株式会社,s1_outline_14_sales_02,化学品事業,グループ,group,false,false,false,その他系列,,2023年,2023,,2023,2023,,,existing_normalized_year,high,manual_label,existing_normalized_year,361,2030年,2030,,2030,2030,,,existing_normalized_year,high,manual_label,existing_normalized_year,450,88,,,,not_stated,not_stated,ai_visual_manual_audit,medium,true,PDF原文内不整合・要注記,1,化学品事業450億円（+88億円/2030年）。円グラフは2023年361億円、2030年450億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_14.pdf
s1_outline_14,1次,日華化学株式会社,s1_outline_14_sales_03,化粧品事業,グループ,group,false,false,false,その他系列,,2023年,2023,,2023,2023,,,existing_normalized_year,high,manual_label,existing_normalized_year,139,2030年,2030,,2030,2030,,,existing_normalized_year,high,manual_label,existing_normalized_year,250,110,,,,not_stated,not_stated,ai_visual_manual_audit,medium,true,整合,1,化粧品事業250億円（+110億円/2030年）。円グラフは2023年139億円、2030年250億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_14.pdf
s1_outline_16,1次,株式会社旭ウエルテック,s1_outline_16_sales_01,コンソーシアム全体,グループ,group,true,true,false,PDF主系列,,,,,,,,,missing,low,missing,記載なし,,2029年まで,2029,,2029,2029,,,existing_normalized_year,high,manual_label,existing_normalized_year,,29.9,240,,240,stated_undefined,stated_undefined,ai_visual_manual_audit,high,false,未判定,1,2029年までのコンソーシアム全体の売上高成長率240%、売上高増加額29.9億円、付加価値額23.4億円（2.49倍UP）。申請企業単独の売上目標は記載なし。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_16.pdf
s1_outline_17,1次,進工業株式会社,s1_outline_17_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2022年度,2022,,2022,2022,,,existing_normalized_year,high,manual_label,existing_normalized_year,,2027年度,2027,,2027,2027,,,existing_normalized_year,high,manual_label,existing_normalized_year,,100.38,102.3,,102.3,cumulative_increase,cumulative_increase,ai_visual_manual_audit,high,false,未判定,1,"2022年度～2027年度までの売上高成長率102.3%、売上高成長額10,038百万円。",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_17.pdf
s1_outline_19,1次,株式会社XEN GROUP,s1_outline_19_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2022年度,2022,,2022,2022,,,existing_normalized_year,high,manual_label,existing_normalized_year,,2029年度,2029,,2029,2029,,,existing_normalized_year,high,manual_label,existing_normalized_year,,28,308,,308,stated_undefined,stated_undefined,ai_visual_manual_audit,high,false,未判定,1,会社全体：2022年度→2029年度までの売上高成長率308%、売上高増加額28億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_19.pdf
s1_outline_19,1次,株式会社XEN GROUP,s1_outline_19_sales_02,補助事業,補助事業,project,false,false,false,その他系列,,2022年度,2022,,2022,2022,,,existing_normalized_year,high,manual_label,existing_normalized_year,,2029年度,2029,,2029,2029,,,existing_normalized_year,high,manual_label,existing_normalized_year,,64,3600,,3600,stated_undefined,stated_undefined,ai_visual_manual_audit,high,false,未判定,1,補助事業：2022年度→2029年度までの売上高成長率3600%、売上高増加額64億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_19.pdf
s1_outline_20,1次,エスティケイテクノロジー株式会社,s1_outline_20_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,,,,,,,,missing,low,missing,記載なし,,2029年3月期まで,2029,3,2029,2029,3,3,existing_normalized_year,high,manual_label,existing_normalized_year,,45,4,,4,stated_undefined,stated_undefined,ai_visual_manual_audit,high,false,未判定,1,2029年3月期までの目標：会社全体 売上高成長率4.0%、売上高増加額45億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_20.pdf
s1_outline_20,1次,エスティケイテクノロジー株式会社,s1_outline_20_sales_02,補助事業,補助事業,project,false,false,false,その他系列,,,,,,,,,missing,low,missing,記載なし,,2029年3月期まで,2029,3,2029,2029,3,3,existing_normalized_year,high,manual_label,existing_normalized_year,,19,5.6,,5.6,stated_undefined,stated_undefined,ai_visual_manual_audit,high,false,未判定,1,2029年3月期までの目標：補助事業 売上高成長率5.6%、売上高増加額19億円。,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_20.pdf
s1_outline_21,1次,株式会社くまさんメディクス,s1_outline_21_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2023年8月期,2023,8,2023,2023,8,8,existing_normalized_year,high,manual_label,existing_normalized_year,306,2030年8月期,2030,8,2030,2030,8,8,existing_normalized_year,high,manual_label,existing_normalized_year,500,194,64,,64,cumulative_increase,cumulative_increase,ai_visual_manual_audit,high,false,整合,1,直近2023年8月期306億円→2030年8月期500億円、増加額194億円、成長率64%,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_21.pdf
s1_outline_22,1次,BBSジャパン株式会社,s1_outline_22_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2026年6月期,2026,6,2026,2026,6,6,existing_normalized_year,high,manual_label,existing_normalized_year,,2029年6月期,2029,6,2029,2029,6,6,existing_normalized_year,high,manual_label,existing_normalized_year,,40,28,,28,cumulative_increase,cumulative_increase,ai_visual_manual_audit,high,false,未判定,1,基準年度2026/6対2029/6、売上高成長率28%、増加額40億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_22.pdf
s1_outline_23,1次,株式会社ジェーイーエル,s1_outline_23_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2023年5月期,2023,5,2023,2023,5,5,existing_normalized_year,high,manual_label,existing_normalized_year,145,2030年5月期,2030,5,2030,2030,5,5,existing_normalized_year,high,manual_label,existing_normalized_year,231,,,15,15,cagr,cagr,ai_visual_manual_audit,medium,true,未判定,1,2030年5月期まで毎年15%、2023年5月期145億円→2030年5月期231億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_23.pdf
s1_outline_23,1次,株式会社ジェーイーエル,s1_outline_23_sales_02,補助事業（尾道工場）,補助事業,project,false,false,false,その他系列,,,,,,,,,missing,low,missing,記載なし,,2030年5月期,2030,5,2030,2030,5,5,existing_normalized_year,high,manual_label,existing_normalized_year,80,,,,,not_stated,not_stated,ai_visual_manual_audit,medium,true,未判定,1,尾道工場の2030年5月期売上目標80億円、会社全体の34%,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_23.pdf
s1_outline_24,1次,株式会社フジキン,s1_outline_24_sales_01,グループ全体（連結）,グループ,group,true,true,false,PDF主系列,,2023年度,2023,,2023,2023,,,existing_normalized_year,high,manual_label,existing_normalized_year,1701,2030年度,2030,,2030,2030,,,existing_normalized_year,high,manual_label,existing_normalized_year,3000,,180,,180,target_base_ratio,target_base_ratio,ai_visual_manual_audit,high,false,未判定,1,"連結2023年度1,701億円→2030年度3,000億円、1.8倍",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_24.pdf
s1_outline_24,1次,株式会社フジキン,s1_outline_24_sales_02,フジキン単体,申請企業,applicant,false,false,true,申請企業代表,AI画像目視で申請企業系列と確認,2023年度,2023,,2023,2023,,,existing_normalized_year,high,manual_label,existing_normalized_year,836,2030年度,2030,,2030,2030,,,existing_normalized_year,high,manual_label,existing_normalized_year,1420,,170,,170,target_base_ratio,target_base_ratio,ai_visual_manual_audit,high,false,未判定,1,"単体2023年度836億円→2030年度1,420億円、1.7倍",https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_24.pdf
s1_outline_25,1次,日本リファイン株式会社,s1_outline_25_sales_01,グループ全社,グループ,group,true,true,false,PDF主系列,,2023年度,2023,,2023,2023,,,existing_normalized_year,high,manual_label,existing_normalized_year,209,2029年度,2029,,2029,2029,,,existing_normalized_year,high,manual_label,existing_normalized_year,500,291,239,,239,target_base_ratio,target_base_ratio,ai_visual_manual_audit,high,false,整合,1,グループ2023年度209億円→2029年度500億円、増加291億円、成長率239%,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_25.pdf
s1_outline_25,1次,日本リファイン株式会社,s1_outline_25_sales_02,日本リファイン単体,申請企業,applicant,false,false,true,申請企業代表,AI画像目視で申請企業系列と確認,2023年度,2023,,2023,2023,,,existing_normalized_year,high,manual_label,existing_normalized_year,121,2029年度,2029,,2029,2029,,,existing_normalized_year,high,manual_label,existing_normalized_year,189,68.4,156,,156,target_base_ratio,target_base_ratio,ai_visual_manual_audit,high,false,整合,1,単体2023年度121億円→2029年度189億円、増加68.4億円、成長率156%,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_25.pdf
s1_outline_26,1次,日星電気株式会社,s1_outline_26_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2026年度,2026,,2026,2026,,,existing_normalized_year,high,manual_label,existing_normalized_year,,2029年度,2029,,2029,2029,,,existing_normalized_year,high,manual_label,existing_normalized_year,530,71,116,,116,target_base_ratio,target_base_ratio,ai_visual_manual_audit,high,false,未判定,1,2029年度会社全体売上530億円、2026年度をベースに成長率116%、増加額71億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_26.pdf
s1_outline_27,1次,株式会社クラタ,s1_outline_27_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2023年度,2023,,2023,2023,,,existing_normalized_year,high,manual_label,existing_normalized_year,47,2035年度,2035,,2035,2035,,,existing_normalized_year,high,manual_label,existing_normalized_year,80,33,70,,70,cumulative_increase,cumulative_increase,ai_visual_manual_audit,high,false,整合,1,2023年度47億円→2035年度80億円、増加33億円、成長率70%,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_27.pdf
s1_outline_28,1次,広陵化学工業株式会社,s1_outline_28_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2023年12月,2023,12,2023,2023,12,12,existing_normalized_year,high,manual_label,existing_normalized_year,,2030年12月,2030,12,2030,2030,12,12,existing_normalized_year,high,manual_label,existing_normalized_year,,11.6,50,,50,cumulative_increase,cumulative_increase,ai_visual_manual_audit,high,false,未判定,1,2023年12月より2030年12月まで売上高成長率50%、増加額11.6億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_28.pdf
s1_outline_29,1次,株式会社三和テスコ,s1_outline_29_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,,,,,,,,missing,low,missing,記載なし,,2028年,2028,,2028,2028,,,existing_normalized_year,high,manual_label,existing_normalized_year,,50,,40,40,cagr,cagr,ai_visual_manual_audit,medium,true,未判定,1,2028年までに会社全体の売上高成長率を年平均40%以上、増加額約50億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_29.pdf
s1_outline_29,1次,株式会社三和テスコ,s1_outline_29_sales_02,補助事業売上（国内）,補助事業,project,false,false,false,その他系列,,,,,,,,,missing,low,missing,記載なし,,2028年,2028,,2028,2028,,,existing_normalized_year,high,manual_label,existing_normalized_year,30,,,,,not_stated,not_stated,ai_visual_manual_audit,medium,true,未判定,1,国内10セット×3億円=30億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_29.pdf
s1_outline_29,1次,株式会社三和テスコ,s1_outline_29_sales_03,補助事業売上（海外）,補助事業,project,false,false,false,その他系列,,,,,,,,,missing,low,missing,記載なし,,2028年,2028,,2028,2028,,,existing_normalized_year,high,manual_label,existing_normalized_year,15,,,,,not_stated,not_stated,ai_visual_manual_audit,medium,true,未判定,1,海外5セット×3億円=15億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_29.pdf
s1_outline_30,1次,株式会社メイドー,s1_outline_30_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,,,,,,,,missing,low,missing,記載なし,,2033年,2033,,2033,2033,,,existing_normalized_year,high,manual_label,existing_normalized_year,,642,124,,124,cumulative_increase,cumulative_increase,ai_visual_manual_audit,high,false,未判定,1,2033年までの売上高成長率124%、売上高増加額642億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_30.pdf
s1_outline_31,1次,鎌長製衡株式会社,s1_outline_31_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,,,,,,,,missing,low,missing,記載なし,,2030年,2030,,2030,2030,,,existing_normalized_year,high,manual_label,existing_normalized_year,,34,,9,9,cagr,cagr,ai_visual_manual_audit,high,false,未判定,1,2030年まで会社全体の売上高成長率9%（年率）、増加額34億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_31.pdf
s1_outline_31,1次,鎌長製衡株式会社,s1_outline_31_sales_02,計量機器事業,既存事業,existing_business,false,false,false,その他系列,,,,,,,,,missing,low,missing,記載なし,,2030年,2030,,2030,2030,,,existing_normalized_year,high,manual_label,existing_normalized_year,,,,3,3,cagr,cagr,ai_visual_manual_audit,high,false,未判定,1,計量機器事業：年率3%成長,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_31.pdf
s1_outline_31,1次,鎌長製衡株式会社,s1_outline_31_sales_03,自動化機器・リサイクル機器事業,既存事業,existing_business,false,false,false,その他系列,,,,,,,,,missing,low,missing,記載なし,,2030年,2030,,2030,2030,,,existing_normalized_year,high,manual_label,existing_normalized_year,,,,20,20,cagr,cagr,ai_visual_manual_audit,high,false,未判定,1,自動化機器・リサイクル機器事業：年率20%成長,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_31.pdf
s1_outline_32,1次,オリヒロエンジニアリング株式会社,s1_outline_32_sales_01,当社単体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2023年度,2023,,2023,2023,,,existing_normalized_year,high,manual_label,existing_normalized_year,28,2029年度,2029,,2029,2029,,,existing_normalized_year,high,manual_label,existing_normalized_year,65,37,232,,232,target_base_ratio,target_base_ratio,ai_visual_manual_audit,high,false,整合,1,単体2029年度65億円、2023年度比+37億円、成長率232%,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_32.pdf
s1_outline_32,1次,オリヒロエンジニアリング株式会社,s1_outline_32_sales_02,グループ全体,グループ,group,false,false,false,その他系列,,2023年度,2023,,2023,2023,,,existing_normalized_year,high,manual_label,existing_normalized_year,489,2030年度,2030,,2030,2030,,,existing_normalized_year,high,manual_label,existing_normalized_year,700,211,143,,143,target_base_ratio,target_base_ratio,ai_visual_manual_audit,high,false,整合,1,グループ2030年度700億円、2023年度比+211億円、成長率143%,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_32.pdf
s1_outline_33,1次,株式会社石井機械製作所,s1_outline_33_sales_01,会社全体,申請企業,applicant,true,true,true,申請企業代表・PDF主系列,AI画像目視で申請企業系列と確認,2025年（リスタート年度）,2025,,2025,2025,,,existing_normalized_year,high,manual_label,existing_normalized_year,,2033年,2033,,2033,2033,,,existing_normalized_year,high,manual_label,existing_normalized_year,,3,140,,140,stated_undefined,stated_undefined,ai_visual_manual_audit,high,false,未判定,1,2025年をリスタート年度として売上高成長率140%、2033年までに増加額3.0億円,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_33.pdf
