sort_index,case_id,company,is_clean,quality_note,observed_n,below_applicant_n,below_applicant_share,A_score,A_evidence,A_page,A_role,B_score,B_evidence,B_page,B_role,C_score,C_evidence,C_page,C_role,D_score,D_evidence,D_page,D_role,E_score,E_evidence,E_page,E_role,F_score,F_evidence,F_page,F_role,G_score,G_evidence,G_page,G_role,H_score,H_evidence,H_page,H_role,I_score,I_evidence,I_page,I_role,dominant_archetype,primary_old_round_criterion,archetype_basis,fact_summary,inference_summary,inference_confidence,pdf_url,A_source_page_role,B_source_page_role,C_source_page_role,D_source_page_role,E_source_page_role,F_source_page_role,G_source_page_role,H_source_page_role,I_source_page_role,primary_legacy_criteria,coding_part,stable_rank,industry,local_pdf,round,strong_factor_n_A_H,high_factor_n_A_H,strong_factor_labels,explanation_pattern,criteria_mapping,local_pdf_relative
12.0,s2_outline_159,株式会社　ファーストライン,False,RATE_DEFINITION_AMBIGUOUS,8,6,0.75,2,新規顧客から引き合いを受け契約に向け協議中と明記するが、顧客名・契約量は非開示。,2,補助事業の概要,1,市場の多温度帯需要は示すが、既存倉庫で断った数量や稼働率上限は示されない。,1-2,長期成長ビジョン／補助事業の概要,2,通常物流から5温度帯一括保管、医薬品・食品対応、共同配送へサービスを拡張。,1-4,長期成長ビジョン／補助事業の概要,3,和歌山県初・県内唯一の5温度帯倉庫として地域物流の中継、事業誘致、地域物流会社支援を掲げる。,1;3-4,長期成長ビジョン／補助事業の概要,2,温度帯・対象品・管理設備と既存医薬品配送経験を詳述。用地、許認可、見積は非開示。,2-4,補助事業の概要,0,自己負担原資、借入、資金調達余力に関する具体記載なし。,1-4,公開概要全体,2,賃金年平均6.5％、従業員70人から75人、地域物流会社のM&Aを通じた雇用維持を構想。,1-2,長期成長ビジョン／補助事業の概要,3,物流2024年問題、食品ロス、医薬品品質、太陽光、地域物流維持を一つの設備に結び付ける。,1-4,公開概要全体,2,引き合いは協議段階で、顧客・契約量は不明。希少性は具体的だが非採択比較はなく、率定義にも注意あり。,1-4,公開概要全体,供給網・地域インフラ,③地域への波及,県内初の5温度帯拠点と地域物流維持が中核,契約協議中、5温度帯仕様、県内初、既存配送経験は公開資料上の事実。,希少設備と地域物流機能が評価候補だが、需要確度は協議段階で、採択を説明したとは言えない。,Medium,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_159.pdf,p.2 / 補助事業の概要,p.1-2 / 長期成長ビジョン／補助事業の概要,p.1-4 / 長期成長ビジョン／補助事業の概要,p.1;3-4 / 長期成長ビジョン／補助事業の概要,p.2-4 / 補助事業の概要,p.1-4 / 公開概要全体,p.1-2 / 長期成長ビジョン／補助事業の概要,p.1-4 / 公開概要全体,p.1-4 / 公開概要全体,③地域への波及,qualitative_coding_part_a.csv,,,,4次,6,2,需要の確からしさ／事業転換・差別化／供給網・地域の不可欠性／実行準備／雇用・賃上げの質／政策適合・波及性,供給網・地域インフラ,③地域への波及,../../local_assets/pdfs/s2_outline_159.pdf
13.0,s2_outline_168,明和工業株式会社,True,,9,6,0.6667,2,エンジニアリング需要は顕在化し部門売上が伸長、子会社も受注増と記すが、顧客名・受注額は非開示。,1;3,長期成長ビジョン／補助事業の概要,3,子会社工場は面積・能力上限、NC旋盤13機中7機が1992-97年製。新工場で床面積約3倍、能力2倍を計画。,2-3,補助事業の概要,3,水道中心から産業設備ユニットの総合エンジニアリングへ転換し、M&A子会社と垂直統合。,1-3,長期成長ビジョン／補助事業の概要,2,国内完結生産と事業承継難企業のM&Aで製造基盤を守るが、地域内占有率等は非開示。,1,長期成長ビジョン,3,隣接地を取得済みでボーリング調査中。工場面積、設備台数、既存M&A、社員寮まで具体化。,2-3,補助事業の概要,1,既存水道事業の利益とM&A実績は示すが、自己負担原資・借入条件は非開示。,1,長期成長ビジョン,3,社員寮で新卒採用を支え、賃金5.5％・6.5％、従業員54人から84人・33人から48人を計画。,1-3,長期成長ビジョン／補助事業の概要,2,国内製造、地政学・為替リスク、事業承継、地方の人材育成へ接続。,1,長期成長ビジョン,1,取得済み用地、調査、能力数値は個別性が強いが、需要契約と非採択比較はない。,1-3,公開概要全体,事業転換・垂直統合,①経営力,水道から産業設備エンジニアリングへの転換とM&A子会社統合が中核,工場上限、旧設備、取得済み隣接地、ボーリング、能力2倍は公開資料上の事実。,大規模な事業転換に加え、用地取得済み・調査中という実行準備と明確な能力上限が評価候補。,High,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_168.pdf,p.1;3 / 長期成長ビジョン／補助事業の概要,p.2-3 / 補助事業の概要,p.1-3 / 長期成長ビジョン／補助事業の概要,p.1 / 長期成長ビジョン,p.2-3 / 補助事業の概要,p.1 / 長期成長ビジョン,p.1-3 / 長期成長ビジョン／補助事業の概要,p.1 / 長期成長ビジョン,p.1-3 / 公開概要全体,①経営力,qualitative_coding_part_a.csv,,,,4次,7,4,需要の確からしさ／物理的な能力制約／事業転換・差別化／供給網・地域の不可欠性／実行準備／雇用・賃上げの質／政策適合・波及性,事業転換・垂直統合,①経営力,../../local_assets/pdfs/s2_outline_168.pdf
14.0,s2_outline_171,オギハラ食品株式会社,False,RATE_DEFINITION_AMBIGUOUS,8,5,0.625,2,外食チェーンの新規出店に伴う増産要求、店舗展開、海外販路を示すが顧客名・数量は非開示。,2,補助事業の概要,2,2工場分散、高菜の異物除去、人手包装、供給制限が制約だが、能力・失注量は非開示。,1-2,長期成長ビジョン／補助事業の概要,2,分散工場を統合し、自動化・FSSC22000・輸出対応へ移行するが主力事業は高菜加工のまま。,1-2,長期成長ビジョン／補助事業の概要,3,国内トップシェアを掲げ、三池高菜生産者への利益還元と地域食文化の継承を事業目的に据える。,1,長期成長ビジョン,2,統合工場、工程ゾーニング、FSSC22000、検査・開発設備を具体化。用地・見積・認証取得済みではない。,2,補助事業の概要,0,自己負担原資、借入、資金調達余力に関する具体記載なし。,1-2,公開概要全体,3,賃金年平均6.2％、従業員58人から91人、作業負荷・就労環境改善を計画。,1-2,長期成長ビジョン／補助事業の概要,3,地域農業、食文化、輸出認証、生産者利益、雇用を統合。,1-2,長期成長ビジョン／補助事業の概要,3,顧客・増産量が非開示で『数値確定後記入』が残る。率定義にも品質注意があり、証拠完成度が低い。,2,補助事業の概要,供給網・地域インフラ,③地域への波及,三池高菜生産者への利益還元と地域食文化の継承が最も固有,トップシェア、増産要求、分散工場、雇用目標は事実だが、数量欄未完成と率定義注意がある。,地域ブランドの不可欠性と統合工場の機序が評価候補。ただし需要・実行性の証拠が弱く推論確度は限定的。,Medium,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_171.pdf,p.2 / 補助事業の概要,p.1-2 / 長期成長ビジョン／補助事業の概要,p.1-2 / 長期成長ビジョン／補助事業の概要,p.1 / 長期成長ビジョン,p.2 / 補助事業の概要,p.1-2 / 公開概要全体,p.1-2 / 長期成長ビジョン／補助事業の概要,p.1-2 / 長期成長ビジョン／補助事業の概要,p.2 / 補助事業の概要,③地域への波及,qualitative_coding_part_a.csv,,,,4次,7,3,需要の確からしさ／物理的な能力制約／事業転換・差別化／供給網・地域の不可欠性／実行準備／雇用・賃上げの質／政策適合・波及性,供給網・地域インフラ,③地域への波及,../../local_assets/pdfs/s2_outline_171.pdf
15.0,s2_outline_172,株式会社環境整備産業,True,,8,6,0.75,3,TSMCが大分の処理施設を視察し、能力不足で処理依頼を断る事例が頻発。県外処理比率65.8％・61.3％を提示。,1-2,長期成長ビジョン／補助事業の概要,3,特別管理廃棄物施設が僅少で、既存施設は依頼を断る能力不足。新施設はグループ既存施設の2倍超。,1-2,長期成長ビジョン／補助事業の概要,3,一般・産業廃棄物中心から、M&Aで獲得したノウハウを基に特別管理廃棄物の焼却・中和へ進出。,1-2,長期成長ビジョン／補助事業の概要,3,県外処理65.8％・61.3％、長距離輸送・漏洩・二次感染リスクを県内最大施設で代替。,1-2,長期成長ビジョン／補助事業の概要,3,"M&A済み、保有遊休地7,060㎡、工業団地立地、設備別金額、延床面積まで具体化。",1-2,長期成長ビジョン／補助事業の概要,1,M&Aと保有地は実行基盤だが、自己負担原資・借入条件は非開示。,1-2,公開概要全体,3,賃金年平均6.5％、従業員55人から65人、3K工程の省人化と労働環境改善を計画。,1-2,長期成長ビジョン／補助事業の概要,3,半導体・医療廃棄物、県内処理、資源循環、CO2・漏洩リスク、地域雇用を一体化。,1-2,長期成長ビジョン／補助事業の概要,1,固有需要・地域不足・準備状況は強いが、採択企業のみの資料で非採択比較はない。,1-2,公開概要全体,供給網・地域インフラ,③地域への波及,県外依存する危険廃棄物処理を県内で代替するインフラ性が中核,TSMC視察、断り案件、県外処理率、M&A、保有地、設備費は公開資料上の事実。,定量指標の弱さを、実需、明白な地域処理不足、取得済みノウハウ・用地が補った可能性が高い。採択因果は未確定。,High,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_172.pdf,p.1-2 / 長期成長ビジョン／補助事業の概要,p.1-2 / 長期成長ビジョン／補助事業の概要,p.1-2 / 長期成長ビジョン／補助事業の概要,p.1-2 / 長期成長ビジョン／補助事業の概要,p.1-2 / 長期成長ビジョン／補助事業の概要,p.1-2 / 公開概要全体,p.1-2 / 長期成長ビジョン／補助事業の概要,p.1-2 / 長期成長ビジョン／補助事業の概要,p.1-2 / 公開概要全体,③地域への波及,qualitative_coding_part_a.csv,,,,4次,7,7,需要の確からしさ／物理的な能力制約／事業転換・差別化／供給網・地域の不可欠性／実行準備／雇用・賃上げの質／政策適合・波及性,供給網・地域インフラ,③地域への波及,../../local_assets/pdfs/s2_outline_172.pdf
,s2_outline_19,株式会社高木製作所,False,RATE_DEFINITION_AMBIGUOUS|REPRESENTATIVE_ENTITY_AMBIGUOUS,5,3,0.6,3,トヨタ自動車の物流効率化要望と既存主要取引先からの増産要請を明記。EV・HV向け締結部品需要の増加も記載するが、受注数量は非開示。,,,2,点在工程と人手依存を解消し、材料投入から出荷までを一貫自動化する必要を示す。現在能力の数量上限は非開示。,,,3,多品種小ロットの一貫完全自動生産、金型設計DX、設計作業の内製化により部品供給者からシステムサプライヤーへの転換を掲げる。,,,2,国内自動車産業の電動化・物流問題・サプライヤー競争力に接続するが、地域での代替困難性や供給シェアは示さない。,,,2,新工場・自動倉庫・AGV・加工設備を特定し、金型自動加工ライン等は自己資金導入予定とする。用地・許認可・発注状況は不明。,,,2,補助対象外を含む自己資金導入予定を明記するが、資金調達計画や金融機関の関与は公開範囲にない。,,,3,未経験者・女性・シニアに配慮した省力環境、賃上げ年率6.3%/7.0%、2社合計で従業員193人から199人を示す。,,,3,EV対応、物流2024年問題、DX・AI、省人化、安全性向上を一体で説明する。,,,2,自動化・EV対応は他の採択案件にも広く見られ、増産要請の数量、契約、資金計画は公開されない。主体・率定義にも品質注意がある。,,,事業転換・垂直統合,,,トヨタ自動車の要望、主要取引先の増産要請、一貫自動工場、自己資金導入予定が公開PDFに記載される。,推論: 定量指標が申請者代表値を多く下回っても、顧客接続のある自動車供給網案件と非連続な工程転換が評価材料になり得た。ただし審査上の決め手は確認できない。,Medium,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_19.pdf,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1 長期成長ビジョン,p.2 補助事業の概要,p.2 補助事業の概要,p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1-2 全公開ページ（不記載確認）,①経営力／②先進性・成長性／⑤実現可能性,qualitative_coding_part_b.csv,16.0,製造業,local_assets/pdfs/s2_outline_19.pdf,3次,8,4,需要の確からしさ／物理的な能力制約／事業転換・差別化／供給網・地域の不可欠性／実行準備／資金・自己負担能力／雇用・賃上げの質／政策適合・波及性,事業転換・垂直統合,①経営力／②先進性・成長性／⑤実現可能性,../../local_assets/pdfs/s2_outline_19.pdf
,s2_outline_192,フクビ岡山株式会社,False,COST_TEXT_NUMERIC_MISMATCH,7,5,0.714286,2,2025年4月の省エネ基準適合義務化による高性能断熱材需要の拡大を示す。実名顧客、受注数量、契約は示さない。,,,2,現在の生産能力の限界を明記し、第2生産拠点で需要変化へ対応するとするが、現状能力と不足量の数値はない。,,,2,独自製法を用いる第2拠点で原料配合から梱包出荷までを集約し、非住宅・未開拓市場へ展開する。既存事業の拡張性が中心。,,,2,高性能断熱材の安定供給、地域協定のカーボンフリー、環境先進モデル工場を掲げるが、地域での代替困難性は定量化しない。,,,2,工場建設・生産装置・省人設備の金額と独自製法を示す。用地、許認可、見積、発注、融資の記載はない。,,,0,グループ戦略との連携は示すが、自己負担資金、借入、金融機関支援を確認できない。,,,3,従業員40人から60人、1人当たり給与年率6.2%、搬送ロボットと換気空調による負荷軽減を示す。,,,3,建築物省エネ、カーボンフリー、グリーンエネルギー、省人化という政策課題に直接対応する。,,,2,需要根拠は制度変更と市場一般で、個別顧客証拠がない。事業費本文と数値の不一致フラグもあるため、極端な定量劣後の解釈には注意を要する。,,,需要確約・能力制約,,,省エネ基準義務化、現有能力の限界、第2生産拠点、40人から60人への雇用増が記載される。,推論: 規制により見通しやすい需要と供給能力増強の組合せが、公開指標以外の評価材料になり得た。ただし顧客別需要と資金裏付けは公開されない。,Medium,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_192.pdf,p.1 長期成長ビジョン,p.1 長期成長ビジョン; p.2 補助事業の概要,p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.2 補助事業の概要,p.1-2 全公開ページ（不記載確認）,p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1-2 全公開ページ（不記載確認）,②先進性・成長性／③地域への波及／⑤実現可能性,qualitative_coding_part_b.csv,17.0,製造業,local_assets/pdfs/s2_outline_192.pdf,4次,7,2,需要の確からしさ／物理的な能力制約／事業転換・差別化／供給網・地域の不可欠性／実行準備／雇用・賃上げの質／政策適合・波及性,需要確約・能力制約,②先進性・成長性／③地域への波及／⑤実現可能性,../../local_assets/pdfs/s2_outline_192.pdf
,s2_outline_194,リバードコーポレーション株式会社,True,,7,5,0.714286,2,ペットフード市場年率2.9%と自社の過去年率23.3%を示す。顧客名、内示、受注数量は示さない。,,,3,既存設備は15バッチ/日が上限に近く、22バッチ/日へ増強し、包装工程をボトルネックと特定する。,,,3,企画・開発・製造・販売をつなぐDtoCバリューチェーンへ再構築し、新カテゴリ製品と適時配荷を統合する。,,,2,地域未来牽引企業、鳥取での雇用、地方発の商品開発を示すが、地域供給網での不可欠性は限定的。,,,3,隣接増築、設備の台数、15から22バッチ/日、包装自動化、8名分工数削減を具体化し、2020年工場新築後の成長実績も示す。,,,1,既存工場建設後の高成長実績はあるが、本投資の自己負担資金・借入・金融機関支援は記載されない。,,,3,8名分の工数削減、新製品ライン20名新規雇用、従業員120人から135人、給与年率7.3%を示す。,,,3,地域雇用、省人化・DX、健康志向商品、低在庫・適時配荷、食品ロス抑制につながる計画である。,,,2,市場成長と健康志向は一般的で、顧客契約や受注内示を欠く。垂直統合・自動化自体も他の採択案件に多い。,,,事業転換・垂直統合,,,15から22バッチ/日への増強、包装ボトルネック、設備台数、20名新規雇用、DtoC一貫モデルが明示される。,推論: 公開定量値の弱さに対して、測定可能な能力制約と垂直統合型の事業転換が比較的強い説明候補である。採択因果を示すものではない。,High,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_194.pdf,p.1 長期成長ビジョン,p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1-2 全公開ページ,p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1-2 全公開ページ（不記載確認）,①経営力／②先進性・成長性／⑤実現可能性,qualitative_coding_part_b.csv,18.0,製造業,local_assets/pdfs/s2_outline_194.pdf,4次,7,5,需要の確からしさ／物理的な能力制約／事業転換・差別化／供給網・地域の不可欠性／実行準備／雇用・賃上げの質／政策適合・波及性,事業転換・垂直統合,①経営力／②先進性・成長性／⑤実現可能性,../../local_assets/pdfs/s2_outline_194.pdf
,s2_outline_195,株式会社レクザム,False,RATE_DEFINITION_AMBIGUOUS,6,5,0.833333,1,インド・北米の空調需要や自動車部品需要を挙げるが、顧客名、受注、需要数量はない。,,,1,人手不足とコスト増への対応は示すが、既存ラインの能力上限や失注量は示さない。,,,2,西条工場を電子回路実装基板の自動生産モデル工場へ変えるが、既存製品の工程自動化・増産が中心である。,,,1,地域雇用や半導体・自動車供給への貢献を述べるが、供給シェアや地域の代替困難性は示さない。,,,2,対象工場・建屋、SMTライン、自動倉庫、後工程設備は特定される。用地、許認可、見積、契約、導入工程は不明。,,,2,株主配当・役員報酬をゼロとして財務強化と拡大生産を続ける方針を明記するが、本件の資金調達計画はない。,,,2,従業員102人から108人、給与年率6.2%を示すが、職種・採用時期・育成は公開されない。,,,2,半導体戦略、グリーンファクトリー、自動化、省人化に整合する。波及効果の数量化は限定的。,,,3,事業領域が広く、当該投資に結び付く顧客証拠・能力不足・資金計画が弱い。率定義にも品質注意があり、公開資料だけでは補完説明が不足する。,,,その他,,,自動倉庫、SMT、後工程の自動化と財務強化方針は記載されるが、顧客需要と現有能力差は定量化されない。,推論: 自動生産モデル工場と幅広い戦略適合は評価候補だが、申請者代表値を大幅に下回る理由を公開情報だけで説明する力は弱い。,Low,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_195.pdf,p.1 長期成長ビジョン,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1 長期成長ビジョン,p.2 補助事業の概要,p.1 長期成長ビジョン,p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1-2 全公開ページ（不記載確認）,①経営力／②先進性・成長性,qualitative_coding_part_b.csv,19.0,製造業,local_assets/pdfs/s2_outline_195.pdf,4次,5,0,事業転換・差別化／実行準備／資金・自己負担能力／雇用・賃上げの質／政策適合・波及性,その他,①経営力／②先進性・成長性,../../local_assets/pdfs/s2_outline_195.pdf
,s2_outline_205,八戸酒造株式会社,False,RATE_DEFINITION_AMBIGUOUS,8,5,0.625,2,外国人蔵見学客1.5万人、海外日本食店と清酒輸出額の増加を示す。顧客契約や商品別受注量はない。,,,3,火入れ400本/時を1200本/時へ増強し、分散冷蔵、製造・観光動線の競合を具体的なボトルネックとして示す。,,,3,製造を新工場へ移し、重要文化財の旧蔵を観光拠点化することで、酒造と観光を分離・再統合する。,,,3,1775年由来の酒蔵、青森県産米・酵母、観光客、地域文化・農業を結び付け、八戸観光の核を担う計画を示す。,,,3,"八戸市との土地購入合意、20,357㎡、取得額、火入れ能力、既存設備移設による費用抑制を明記する。",,,2,土地購入合意と既存設備移設による必要最小限化は示すが、借入・自己資金・金融機関支援は不明。,,,3,従業員36人から42人、給与年率10.0%、品質向上人材の積極採用と利益の給与還元を示す。,,,3,地域観光、文化継承、輸出、地元農業、雇用、既存文化財活用を一つの事業に接続する。,,,1,輸出需要は市場統計中心で顧客別証拠はないが、能力・土地・観光実績は案件固有で反証は比較的弱い。率定義には品質注意がある。,,,供給網・地域インフラ,,,1.5万人の蔵見学、火入れ能力3倍、八戸市との土地購入合意、旧蔵の観光転用が明示される。,推論: 酒造能力増強だけでなく、文化財・観光・農業を結ぶ地域拠点化が、公開定量値以外の強い評価候補になり得た。,High,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_205.pdf,p.1 長期成長ビジョン,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.2 補助事業の概要,p.2 補助事業の概要,p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1-2 全公開ページ,①経営力／③地域への波及／⑤実現可能性,qualitative_coding_part_b.csv,20.0,製造業,local_assets/pdfs/s2_outline_205.pdf,3次,8,6,需要の確からしさ／物理的な能力制約／事業転換・差別化／供給網・地域の不可欠性／実行準備／資金・自己負担能力／雇用・賃上げの質／政策適合・波及性,供給網・地域インフラ,①経営力／③地域への波及／⑤実現可能性,../../local_assets/pdfs/s2_outline_205.pdf
,s2_outline_210,南島酒販株式会社,True,,8,6,0.75,1,観光回復、インバウンド、日本酒輸出、地産地消志向を挙げるが、顧客名、注文、需要数量はない。,,,1,取得した日本酒製造事業の量産体制整備を必要とするが、既存能力、失注、工程ボトルネックは示さない。,,,3,酒類卸から、取得した日本酒製造事業を基盤に石垣島で製造・ブランド化する高付加価値事業へ進出する。,,,3,沖縄唯一・日本最南端の日本酒、沖縄産米、観光、製造業空洞化、地域雇用を明確に結び付ける。,,,2,製造事業を既に取得し、酒蔵建屋約5億円、製造設備約6.5億円を特定する。用地・許認可・見積・発注は不明。,,,1,事業取得済みであることは準備の間接証拠だが、自己負担資金・融資・金融機関支援は示されない。,,,3,従業員114人から128人、給与年率6.5%、沖縄の地場製造業での雇用創出を示す。,,,3,地産地消、製造業維持、観光消費、県産ブランド、地域雇用という政策波及を示す。,,,3,主要需要は一般的な観光・輸出トレンドで、顧客・販売契約、酒造免許、操業用地、資金計画が公開されない。,,,事業転換・垂直統合,,,卸売から製造へ進出し、沖縄唯一・日本最南端の日本酒蔵を構築する計画と14人の雇用増を示す。,推論: 地域製造業の空白を埋める事業転換は明確だが、需要確度と実行準備の公開証拠が弱く、採択説明としては中程度である。,Medium,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_210.pdf,p.1 長期成長ビジョン,p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.2 補助事業の概要,p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1-2 全公開ページ（不記載確認）,①経営力／③地域への波及,qualitative_coding_part_b.csv,21.0,卸売業・小売業,local_assets/pdfs/s2_outline_210.pdf,4次,5,4,事業転換・差別化／供給網・地域の不可欠性／実行準備／雇用・賃上げの質／政策適合・波及性,事業転換・垂直統合,①経営力／③地域への波及,../../local_assets/pdfs/s2_outline_210.pdf
,s2_outline_218,株式会社エム・ケー・ケー,True,,8,5,0.625,2,Marriott MoxyとBonvoy会員世界2.28億人・国内430万人を需要基盤として示す。宿泊予約、稼働率、確約室数はない。,,,0,本件は既存能力不足の解消ではなく、閉店百貨店の用途転換である。ホテル供給不足や既存客室の上限は示さない。,,,3,旧百貨店を250室のMoxyホテル・複合拠点へ転換し、ホテル事業を全社成長の主力に据える。,,,3,大型商業施設が相次いで閉店した松本駅前の再生、若年雇用、観光回遊、地域事業者への波及を中心目的とする。,,,3,対象建物・土地取得、250室への用途変更、Marriottフランチャイズ、既存148室ホテルの運営実績を示す。,,,2,所有ビルが満室で年間約1.3億円の賃料収入、既存ホテル運営実績を示すが、本件の融資・自己資金計画はない。,,,3,従業員20人から46人、給与年率7.1%、若年層の雇用と地域定着を掲げる。,,,3,中心市街地再生、インバウンド、地域雇用、地元企業連携、観光回遊の波及を具体化する。,,,3,地下テナントは複数候補と交渉中で未確定と明記する。Bonvoy会員数は当該ホテルの予約確約ではなく、稼働率・客室単価の裏付けも公開されない。,,,供給網・地域インフラ,,,土地建物取得、Marriottブランド、既存ホテル運営、250室への転換、松本中心部の連続閉店が明示される。,推論: 定量指標の弱さを、中心市街地再生という地域課題と高い実行準備が補う構図は明瞭。ただし需要計画には未確定部分が残る。,Medium,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_218.pdf,p.3-4 補助事業の概要,p.1-4 全公開ページ,p.1 長期成長ビジョン; p.3 補助事業の概要,p.1 長期成長ビジョン; p.3 補助事業の概要,p.1-3 長期成長ビジョン／補助事業の概要,p.1-2 長期成長ビジョン,p.1 長期成長ビジョン; p.3 補助事業の概要,p.1 長期成長ビジョン; p.3-4 補助事業の概要,p.2 長期成長ビジョン; p.4 補助事業の概要,①経営力／③地域への波及／⑤実現可能性,qualitative_coding_part_b.csv,22.0,宿泊業・飲食サービス業,local_assets/pdfs/s2_outline_218.pdf,4次,7,5,需要の確からしさ／事業転換・差別化／供給網・地域の不可欠性／実行準備／資金・自己負担能力／雇用・賃上げの質／政策適合・波及性,供給網・地域インフラ,①経営力／③地域への波及／⑤実現可能性,../../local_assets/pdfs/s2_outline_218.pdf
,s2_outline_221,株式会社ニシムタ,True,,9,7,0.777778,3,自社惣菜売上が5年で1.28倍、全国市場が2014年比118.6%、14店舗分の能力と新設2店舗による稼働確保を示す。,,,3,店舗内作業場が狭く製造品種が限定され、店舗別製造では食品ロス・ムダが生じると特定する。,,,3,小売業から食品製造業へ進出し、店舗厨房をセントラルキッチンへ集約して新商品・冷凍保管・広域展開を実現する。,,,2,南九州の地域密着店舗網と地元物産を基盤とするが、地域供給上の代替困難性は示さない。,,,3,工場・2店舗の投資額、建物・設備・造成内訳、面積を示し、自社新店舗で工場稼働率を確保する計画である。,,,1,確立した店舗基盤と大規模投資内訳はあるが、自己負担資金・融資・金融機関支援の記載はない。,,,3,従業員106人から116人、給与年率6.0%、店舗作業の集約と食品ロス削減を示す。,,,3,女性活躍・高齢化に伴う中食需要、HACCP、食品ロス、地域物産、雇用・賃上げに接続する。,,,1,需要は自社実績と自社店舗で一定程度検証可能だが、セントラルキッチン化自体は一般的で、外部顧客による検証はない。,,,事業転換・垂直統合,,,惣菜売上1.28倍、14店舗分能力、狭い店舗厨房、139.9億円の工場・店舗投資が示される。,推論: 自社内で観測できる需要と店舗網を使い、小売から製造へ転換するため、申請者代表値未満群でも公開情報による説明力が高い。,High,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_221.pdf,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1 長期成長ビジョン,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1 長期成長ビジョン,p.2 補助事業の概要,p.1-2 全公開ページ,p.2 補助事業の概要,p.1 長期成長ビジョン; p.2 補助事業の概要,p.1-2 全公開ページ,①経営力／②先進性・成長性／⑤実現可能性,qualitative_coding_part_b.csv,23.0,卸売業・小売業,local_assets/pdfs/s2_outline_221.pdf,4次,7,6,需要の確からしさ／物理的な能力制約／事業転換・差別化／供給網・地域の不可欠性／実行準備／雇用・賃上げの質／政策適合・波及性,事業転換・垂直統合,①経営力／②先進性・成長性／⑤実現可能性,../../local_assets/pdfs/s2_outline_221.pdf
