review_origin,selection_note,case_id,round,company,industry,is_clean,dashboard9_observed_n,dashboard9_below_accepted_n,dashboard9_below_accepted_share,directional8_lagging,directional_component_win_n,directional_explanation_level,demand,constraint,transformation,regional,execution,strategic,evidence,coding_confidence,pdf_url,core_strong_n,all_factor_strong_n
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s2_outline_210,4次,南島酒販株式会社,卸売業・小売業,True,8,6.0,0.75,True,2,明確な定量補完（2構成以上）,1,2,3,3,2,2,酒造事業を取得し卸から沖縄産酒の製造者へ転換。顧客確約は弱いが、地域米・観光・県産ブランドの統合性が高い。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_210.pdf,3,5
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s2_outline_116,4次,奥伊吹観光株式会社,生活関連サービス業・娯楽業,True,7,5.0,0.7142857142857143,True,2,明確な定量補完（2構成以上）,3,3,3,3,2,2,"年間25万人来場、9割が日帰り、宿泊機能なしで消費額が7,500円程度に限定。日帰りスキー場から滞在型リゾートへ転換。",high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_116.pdf,4,6
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s2_outline_168,4次,明和工業株式会社,製造業,True,9,7.0,0.7777777777777778,True,1,部分的な定量補完（1構成）,2,3,3,3,3,3,エンジニアリング需要と子会社受注が増加。老朽設備・子会社の能力不足をM&Aと隣接取得地の一貫工場で解消。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_168.pdf,4,6
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s2_outline_136,4次,木本製菓株式会社,宿泊業・飲食サービス業,True,9,6.0,0.6666666666666666,True,2,明確な定量補完（2構成以上）,1,0,3,3,3,2,菓子事業からホテルブランドへ構造転換。上野駅前13階建て計画、500人分備蓄、台東区一時滞在施設登録、ZEB計画。本文抽出不良。,low,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_136.pdf,2,4
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s2_outline_218,4次,株式会社エム・ケー・ケー,宿泊業・飲食サービス業,True,8,5.0,0.625,True,1,部分的な定量補完（1構成）,2,1,3,3,2,3,Marriott MoxyとBonvoy会員基盤を活用。百貨店閉店跡を250室ホテル・複合拠点へ転換し地域中心部の空洞化に対応。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_218.pdf,3,5
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s2_outline_145,4次,株式会社シャノワール,卸売業・小売業,True,8,6.0,0.75,True,1,部分的な定量補完（1構成）,2,3,3,1,3,2,現工場が出店・販売機会を制約。取得済み用地に中央工場を新設し焼菓子内製化と生産能力3倍を実現。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_145.pdf,3,5
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s2_outline_221,4次,株式会社ニシムタ,卸売業・小売業,True,9,7.0,0.7777777777777778,True,2,明確な定量補完（2構成以上）,3,3,3,2,2,2,自社惣菜売上1.28倍。狭い店舗厨房を中央工場化し小売から食品製造機能を持つ企業へ転換。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_221.pdf,4,6
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s2_outline_121,4次,株式会社ヤマキ食品,製造業,True,8,6.0,0.75,True,1,部分的な定量補完（1構成）,2,3,3,3,3,2,競合撤退による需要集中と高付加価値・小ロット需要。多品種自動化、PB、契約農家モデルを相見積もりを含む具体計画で実施。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_121.pdf,4,6
新規目視レビュー（現行9指標・24社）,現行9指標低位、品質除外なし、既存40ペアに未収録の35社から公募回・業種を分散して24社を選択,s2_outline_172,4次,株式会社環境整備産業,サービス業_他に分類されないもの,True,8,7.0,0.875,True,1,部分的な定量補完（1構成）,3,3,3,3,3,3,TSMCの現地視察と受入不可案件、県外搬出比65.8%・61.3%。M&Aと県内最大級処理施設で地域の廃棄物処理制約を解消。,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_172.pdf,4,6
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s1_outline_156,1次,株式会社ダイセイ,サービス業_他に分類されないもの,True,8,5.0,0.625,True,1,部分的な定量補完（1構成）,2,3,3,3,1,1,物流サービス統合、倉庫・人手制約、災害対応を含む地域物流基盤,high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_156.pdf,4,4
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s1_outline_127,1次,株式会社ユニワールド,卸売業・小売業,True,8,5.0,0.625,False,2,明確な定量補完（2構成以上）,2,3,2,3,2,1,物流能力の限界、保管能力2倍、地域雇用の維持,high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline_127.pdf,4,5
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s1_outline__199,2次,株式会社ティー・シー・ピー,製造業,True,7,5.0,0.7142857142857143,True,1,部分的な定量補完（1構成）,2,3,3,3,3,2,国内回帰・知財、リードタイムと検査制約、工場・設備を具体化,high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__199.pdf,4,6
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s1_outline__196,2次,株式会社八立製作所,製造業,True,8,8.0,1.0,True,0,公開方向性定量では未説明,2,2,2,3,1,2,顧客ニーズ、小松大阪向けブラケット80%シェア、国内供給網,high,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__196.pdf,4,5
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_65,3次,ハビックス株式会社,製造業,True,8,5.0,0.625,True,2,明確な定量補完（2構成以上）,1,2,3,2,2,3,素材から衛生用品・OEMへの展開、戦略提携,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_65.pdf,3,5
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_42,3次,中央製乳株式会社,製造業,True,7,5.0,0.7142857142857143,True,1,部分的な定量補完（1構成）,1,3,2,3,2,2,能力・設備老朽化、新しいチルドカップ、地域酪農供給網,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_42.pdf,3,5
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_216,3次,中本Fine Pack株式会社,製造業,False,7,5.0,0.7142857142857143,True,2,明確な定量補完（2構成以上）,3,2,3,2,2,3,エフピコの要請、PET循環、素材から製品までの一貫化,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_216.pdf,4,6
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_83,3次,株式会社キド,製造業,True,7,6.0,0.8571428571428571,True,1,部分的な定量補完（1構成）,3,3,2,3,2,3,5～6年先までの受注、増産要請、リードタイム4分の1、戦略タンク,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_83.pdf,4,6
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_27,3次,株式会社ライト製作所,製造業,True,6,4.0,0.6666666666666666,True,1,部分的な定量補完（1構成）,3,3,3,2,2,3,複数医療機器メーカーからの要請、能力2倍、2工場体制,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_27.pdf,4,6
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_40,3次,株式会社英楽,製造業,True,6,4.0,0.6666666666666666,True,1,部分的な定量補完（1構成）,2,3,3,3,2,2,IQF導入、人手不足、AIウォーターカッター、食品産地の雇用,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_40.pdf,4,6
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_140,3次,都吹株式会社,製造業,True,8,5.0,0.625,True,2,明確な定量補完（2構成以上）,3,3,3,3,2,2,既存顧客の引合い、能力限界、冷凍豆腐輸出、地元大豆・港湾・雇用,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_140.pdf,4,6
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_87,3次,長野牛乳株式会社,製造業,False,7,5.0,0.7142857142857143,True,2,明確な定量補完（2構成以上）,3,3,2,3,2,2,増産要請、能力2倍超、2から4ライン、地域酪農供給網,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_87.pdf,4,6
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_85,3次,Ｌ物流株式会社,運輸業・郵便業,True,6,4.0,0.6666666666666666,True,1,部分的な定量補完（1構成）,1,2,3,3,3,2,4サービス統合、地域コールドチェーン、用地・設備・特許,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_85.pdf,3,5
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_208,4次,NICHIRO株式会社,製造業,True,6,4.0,0.6666666666666666,True,2,明確な定量補完（2構成以上）,1,3,3,2,2,3,能力200%、一貫ライン、AIデータセンター用途,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_208.pdf,3,5
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_192,4次,フクビ岡山株式会社,製造業,False,7,6.0,0.8571428571428571,True,1,部分的な定量補完（1構成）,1,3,2,2,3,3,断熱規制需要、能力限界、投資額・ラインを具体化,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_192.pdf,3,5
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_194,4次,リバードコーポレーション株式会社,製造業,True,7,5.0,0.7142857142857143,True,1,部分的な定量補完（1構成）,1,3,3,3,2,2,垂直統合D2Cペットフード、能力ボトルネック、地域雇用,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_194.pdf,3,5
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_122,4次,杉プラスチック工業株式会社,製造業,False,7,5.0,0.7142857142857143,True,1,部分的な定量補完（1構成）,2,2,2,2,2,3,顧客の増産要請、自動化、資源循環,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_122.pdf,4,6
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_115,4次,株式会社コスモス食品,製造業,True,8,6.0,0.75,True,1,部分的な定量補完（1構成）,1,3,3,2,2,2,フリーズドライ能力40%増、即食・海外、認証,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_115.pdf,3,5
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_149,4次,株式会社サン海苔,製造業,True,8,7.0,0.875,True,1,部分的な定量補完（1構成）,2,3,3,3,3,3,生産者発祥企業、能力不足、HACCP、輸出、地域海苔供給網,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_149.pdf,4,6
既存40ペアの低位側のうち現行9指標低位（20社）,旧7指標で作成した40ペアの低位側から、今回の現行9指標定義にも該当する20社を再抽出,s2_outline_206,4次,能勢酒造株式会社,製造業,True,7,5.0,0.7142857142857143,True,1,部分的な定量補完（1構成）,3,3,3,3,3,2,良品計画を実名提示、能力2.2倍、リターナブル瓶、ISO,high,https://seichotoushi-hojo.jp/assets/pdf/koufu_3_4ji/outline_206.pdf,4,6
