case_id,company,population,application_round,fact_no,claim,timing,source_title,url,source_type,published_at
s1_outline_63,株式会社オティックスホールディングス,core28,1次,2,同社は開発・試作から量産、素材から加工・組付までの一貫体制を公式に掲げており、単純な設備更新ではなく開発提案型サプライヤーとしての能力を持つ。,undated,株式会社オティックス 公式サイト,https://www.otics.co.jp/,company,unknown
s1_outline_63,株式会社オティックスホールディングス,core28,1次,3,経済産業省の地域未来牽引企業資料は、トヨタ自動車等から開発提案型企業グループとして評価されることを目標とするオティックスを選定企業として掲載している。,pre_or_contemporaneous,地域未来牽引企業 株式会社オティックス,https://chiiki-kenin-kigyou.meti.go.jp/pdf/230078.pdf,government,unknown
s1_outline_63,株式会社オティックスホールディングス,core28,1次,4,オティックスは2021年11月24日付でパートナーシップ構築宣言を公表している。,pre_or_contemporaneous,パートナーシップ構築宣言 株式会社オティックス,https://www.biz-partnership.jp/declaration/4758-05-23-aichi.pdf,government,2021-11-24
s1_outline_63,株式会社オティックスホールディングス,core28,1次,5,1次公募の公式採択一覧には金融機関確認書提出先として西尾信用金庫が記載されている。,pre_or_contemporaneous,中堅・中小成長投資補助金 1次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,government,2024
s1_outline__196,株式会社八立製作所,removed_after_round_correction,1次,1,八立製作所は1967年創業で、1.2mmから65mmまでの板金加工設備を持つと公表している。薄板から厚板まで一貫対応する建機部品加工能力がある。,undated,株式会社八立製作所 公式サイト,https://www.hachiritsu.com/,company,unknown
s1_outline__196,株式会社八立製作所,removed_after_round_correction,1次,2,鳥取県は2014年、同社が大阪府内4工場のリスク分散と量産拠点化を目的に鳥取へ進出し、中国輸入部品の物流に境港活用も検討していたと説明している。鳥取拠点は地域誘致・供給網分散の文脈を持つ。,pre_or_contemporaneous,平成26年11月27日 鳥取県議会予備調査会議録,https://www.pref.tottori.lg.jp/item/946087.htm,government,2014-11-27
s1_outline__196,株式会社八立製作所,removed_after_round_correction,1次,3,鳥取市は近年の誘致企業として八立製作所を掲載し、主な業種を建設機械用板金部品の製造としている。現在も地域の誘致製造拠点として認識されている。,undated,鳥取市 主な工業団地と近年の誘致企業,https://www.city.tottori.lg.jp/page/5290.html,government,unknown
s1_outline__196,株式会社八立製作所,removed_after_round_correction,1次,4,1次公募の公式採択一覧には金融機関確認書提出先として三井住友銀行が記載されている。,pre_or_contemporaneous,中堅・中小成長投資補助金 1次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf?260107=,government,2024
s1_outline_50,株式会社松尾製作所,core28,1次,1,同社はBEV用モーターのバスバー、端子、レゾルバなどを設計・製造し、モーター関連部品をユニットとして提供できる技術を公表している。,undated,モーター関連製品｜松尾製作所,https://kk-matsuo-ss.co.jp/motor/,company,unknown
s1_outline_50,株式会社松尾製作所,core28,1次,2,2023年、松尾製作所は表面処理・導電機能を持つFCMを子会社化し、めっき・化学・電気分野を加えた機能拡張を公表した。,pre_or_contemporaneous,株式会社FCMの株式取得に関するお知らせ,https://kk-matsuo-ss.co.jp/wp-corp/wp-content/uploads/2023/04/20230228.pdf,company,2023-02-28
s1_outline_50,株式会社松尾製作所,core28,1次,3,愛知労働局の認定一覧は、松尾製作所が2023年5月にえるぼし3段階目を取得したと掲載している。1次公募時点より前の認定である。,pre_or_contemporaneous,女性活躍推進法に基づくえるぼし認定企業名一覧,https://jsite.mhlw.go.jp/aichi-roudoukyoku/content/contents/002303745.pdf,government,2023-05
s1_outline_50,株式会社松尾製作所,core28,1次,4,1次公募の公式採択一覧には金融機関確認書提出先として三菱UFJ銀行が記載されている。,pre_or_contemporaneous,中堅・中小成長投資補助金 1次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_1ji.pdf,government,2024
s1_outline__181,株式会社ホテルニューアワジ,core28,2次,1,兵庫県の企業紹介資料は、ホテルニューアワジグループが19ブランドを展開し、社員寮約500室、事業所内保育、調理人材育成のキッチンアカデミー等を整備していると紹介する。複数施設運営と人材確保の実績がある。,pre_or_contemporaneous,兵庫県 地域企業紹介資料（ホテルニューアワジ）,https://web.pref.hyogo.lg.jp/sr05/r5/documents/awaji2.pdf,government,2023
s1_outline__181,株式会社ホテルニューアワジ,core28,2次,2,公式公開された補助事業資料には、地域未来牽引企業、パートナーシップ構築宣言登録企業、観光庁の高付加価値経営旅館、兵庫県のSDGs・女性活躍等の認証が列挙されている。,post_adoption,2次公募 交付決定事業概要 ホテルニューアワジ,https://seichotoushi-hojo.jp/assets/pdf/koufu/outline__181.pdf,government,2025
s1_outline__181,株式会社ホテルニューアワジ,core28,2次,3,観光庁は高付加価値経営旅館等の登録制度を設け、宿泊業の生産性・高付加価値化を政策的に推進している。ホテルニューアワジの申請資料に記載された登録はこの政策枠組みに接続する。,undated,高付加価値経営旅館等登録制度｜観光庁,https://www.mlit.go.jp/kankocho/page06_00013.html,government,unknown
s1_outline__181,株式会社ホテルニューアワジ,core28,2次,4,2次公募の公式採択一覧には金融機関確認書提出先として三井住友銀行と淡路信用金庫の2行が記載されている。,pre_or_contemporaneous,中堅・中小成長投資補助金 2次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,government,2024
s1_outline_159,浦島観光ホテル株式会社,core28,2次,1,日本共創プラットフォーム（JPiX）は、2023年12月に浦島観光ホテルの事業承継に参画したとポートフォリオで公表している。長期資本による経営再建・承継の枠組みが申請前に成立していた。,pre_or_contemporaneous,JPiX Portfolio,https://j-pix.com/portfolio,finance,2023-12
s1_outline_159,浦島観光ホテル株式会社,core28,2次,2,Gビズインフォは浦島観光ホテルが2020年10月13日に地域未来牽引企業として選定されたことを掲載している。,pre_or_contemporaneous,Gビズインフォ 浦島観光ホテル株式会社,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=2190001004269,government,2020-10-13
s1_outline_159,浦島観光ホテル株式会社,core28,2次,3,2次公募の公式採択一覧には金融機関確認書提出先として紀陽銀行が記載され、丸峰観光ホテル・みちのりホテルズとの共同申請も確認できる。,pre_or_contemporaneous,中堅・中小成長投資補助金 2次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_2ji.pdf,government,2024
s1_outline_159,浦島観光ホテル株式会社,core28,2次,4,内閣官房の国内投資拡大フォーラム資料は、浦島観光ホテルがバックオフィスDX、料理刷新、既存人員で稼働増に対応するオペレーション改善を進めていると記録する。採択後の実行状況を示すが、採択時の直接証拠ではない。,post_adoption,国内投資拡大のための官民連携フォーラム 議事要旨,https://www.cas.go.jp/jp/seisaku/kokunai_toushikakudai_forum/dai6/gijiyousi.pdf,government,2025
s2_outline_72,ときわ製作所株式会社,core28,3次,1,岡山県は2024年6月25日、ときわ製作所グループ3社による新生産拠点整備と需要拡大を地域経済牽引事業計画として承認している。用地・事業主体・政策適合が申請前後の自治体資料で確認できる。,pre_or_contemporaneous,岡山県 地域経済牽引事業計画承認一覧,https://www.pref.okayama.jp/uploaded/life/897774_9360998_misc.pdf,government,2024-06-25
s2_outline_72,ときわ製作所株式会社,core28,3次,2,同社公式サイトは、大手農機メーカーの純正品製造を担い国内で高いシェアを持つこと、厳格な規格に対応する加工・品質管理能力を説明している。,undated,製品紹介｜ときわ製作所,https://www.okayama-tokiwa.com/product.html,company,unknown
s2_outline_72,ときわ製作所株式会社,core28,3次,3,会社沿革は2022年にグループ内の金属加工4社を統合してときわ製作所を発足し、自社ブランド水田用除草機「楽とーる」を発売したと記載する。事業再編と製品多角化が投資前に始まっていた。,pre_or_contemporaneous,会社概要｜ときわ製作所,https://www.okayama-tokiwa.com/company.html,company,2022
s2_outline_72,ときわ製作所株式会社,core28,3次,4,3次公募の公式採択一覧には金融機関確認書提出先として伊予銀行が記載されている。,pre_or_contemporaneous,中堅・中小成長投資補助金 3次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,government,2025
s2_outline_205,八戸酒造株式会社,core28,3次,1,八戸市は八戸酒造の歴史的建造物群を市の景観重要建造物第1号として位置づけている。旧蔵は単なる工場資産でなく地域景観・観光資源として公的価値を持つ。,pre_or_contemporaneous,八戸市 景観重要建造物,https://www.city.hachinohe.aomori.jp/jigyoshamuke/kenchiku_toshikeikaku/keikan/9621.html,government,unknown
s2_outline_205,八戸酒造株式会社,core28,3次,2,世界酒蔵ランキング2021で八戸酒造は第1位に選ばれている。輸出・観光展開の前提となるブランド外部評価が申請前から存在した。,pre_or_contemporaneous,世界酒蔵ランキング2021,https://www.sakaguraranking.jp/2021/index.html,other,2021
s2_outline_205,八戸酒造株式会社,core28,3次,3,青森県は2025年2月、韓国バイヤー招聘商談で八戸酒造の蔵見学・商談を組み込み、県産品輸出拡大の対象企業として扱っている。申請と概ね同時期の外部販路支援である。,pre_or_contemporaneous,韓国バイヤー招聘商談等の実施について,https://www.pref.aomori.lg.jp/release/2024/77757.html,government,2025-02
s2_outline_205,八戸酒造株式会社,core28,3次,4,3次公募の公式採択一覧には金融機関確認書提出先として青森みちのく銀行が記載されている。,pre_or_contemporaneous,中堅・中小成長投資補助金 3次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,government,2025
s2_outline_95,山崎商事運輸株式会社,core28,3次,1,同社公式サイトは自社車両と協力会社網を組み合わせ、安定運行と品質基準を共有して顧客ニーズに対応することを強みとしている。3PL化の基礎となる運送ネットワークが既に存在する。,undated,山崎商事運輸 公式サイト,https://www.y-s-u.co.jp/,company,unknown
s2_outline_95,山崎商事運輸株式会社,core28,3次,2,3次公募の公式採択一覧には、物流センター新設による3PLサービス提供計画と、金融機関確認書提出先の商工組合中央金庫が記載されている。,pre_or_contemporaneous,中堅・中小成長投資補助金 3次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,government,2025
s2_outline_95,山崎商事運輸株式会社,core28,3次,3,同社は採択後、低温物流センターの建設概要と2027年完成予定を公表している。計画が具体化した事後証拠だが、採択時の理由を直接示すものではない。,post_adoption,山崎商事運輸 新物流センター建設のお知らせ,https://www.y-s-u.co.jp/news/upload/12-0link_file.pdf,company,2025-11-26
s2_outline_95,山崎商事運輸株式会社,core28,3次,4,"商工中金は採択後、複数金融機関による総額24億9,200万円のシンジケートローン組成を公表し、3PL機能強化を資金面から支援した。",post_adoption,山崎商事運輸株式会社に対するシンジケートローン組成,https://www.shokochukin.co.jp/assets/pdf/nr_260615_01.pdf,finance,2026-06-15
s2_outline_99,株式会社シュゼット・ホールディングス,core28,3次,1,シュゼットは2022年、アンリ・シャルパンティエのフィナンシェが年間販売個数で8年連続ギネス世界記録認定を受けたと公表している。増産投資の前提となる強い商品ブランドの外部評価がある。,pre_or_contemporaneous,フィナンシェ 8年連続ギネス世界記録認定,https://www.suzette.co.jp/wordpress/wp-content/uploads/2022/09/ec0a549de9e3ceeb4e0bf1bda6f4d029.pdf,company,2022-09
s2_outline_99,株式会社シュゼット・ホールディングス,core28,3次,2,会社沿革は2023年に同社パティシエが世界大会で優勝したこと、製造部門の分社化と持株会社化、海外店舗展開の蓄積を示す。,pre_or_contemporaneous,企業情報｜シュゼットグループ,https://www.suzette.co.jp/company/,company,unknown
s2_outline_99,株式会社シュゼット・ホールディングス,core28,3次,3,2024年にシンガポール出店10周年と6店舗展開を公表しており、国内工場投資が海外販売基盤とも接続する。,pre_or_contemporaneous,シンガポール出店10周年,https://www.suzette.co.jp/2024/10/09/6104/,company,2024-10-09
s2_outline_99,株式会社シュゼット・ホールディングス,core28,3次,4,3次公募の公式採択一覧には金融機関確認書提出先として三井住友銀行が記載されている。,pre_or_contemporaneous,中堅・中小成長投資補助金 3次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,government,2025
s2_outline_232,株式会社モリシタ,core28,3次,1,モリシタ公式サイトは1965年創業のペット用品総合卸で、Amazon Japan、DCM、専門店等を取引先として掲載している。販路基盤が具体的に確認できる。,undated,会社概要｜株式会社モリシタ,https://www.morishita-pet.jp/company/about/,company,unknown
s2_outline_232,株式会社モリシタ,core28,3次,2,共同申請者ホワイトフォックスは国産・無添加・素材100％・ヒューマングレードを掲げ、フリーズドライ等の高付加価値ペットフードを開発している。卸売から自社製造へ進む際の既存商品・ブランド基盤がある。,undated,事業紹介｜ホワイトフォックス,https://whitefox.co.jp/business/,company,unknown
s2_outline_232,株式会社モリシタ,core28,3次,3,中国経済産業局は、モリシタが補助金申請を契機に2025年4月17日付でパートナーシップ構築宣言を行い、地元仕入先との共存共栄、製造・物流一体のメーカーベンダー化を目指すと紹介している。申請と同時期の事実である。,pre_or_contemporaneous,人とペットの幸せをカタチに―株式会社モリシタ｜中国経済産業局,https://chugoku-meti-gov.note.jp/n/n0ab7219bad67,government,2025-09-09
s2_outline_232,株式会社モリシタ,core28,3次,4,3次公募の公式採択一覧には金融機関確認書提出先として広島銀行が記載されている。,pre_or_contemporaneous,中堅・中小成長投資補助金 3次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,government,2025
s2_outline_232,株式会社モリシタ,core28,3次,5,採択後の100億企業成長ポータル資料は、自社工場、HACCP対応、輸出、獣医師・大学との連携を含む成長計画を公表している。事後の計画具体化であり採択理由の直接証拠ではない。,post_adoption,100億企業成長ポータル 株式会社モリシタ,https://growth-100-oku.smrj.go.jp/companies/pdf/01299-00.pdf,government,2025
s2_outline_35,株式会社北海道ちぬやファーム,core28,3次,1,味のちぬやグループは2013年に北海道ちぬやファームを設立し、2018年に足寄センターを完成させた。補助事業以前から足寄に原料調達・保管拠点を運営していた。,pre_or_contemporaneous,会社沿革｜味のちぬやグループ,https://chinuya.com/company/history/,company,unknown
s2_outline_35,株式会社北海道ちぬやファーム,core28,3次,2,"北海道ちぬやファームは、コロッケ原料である馬鈴薯の調達確保、6,000トン保管、選別、香川県工場への出荷を担う。グループ生産計画と北海道産地をつなぐ実装済みサプライチェーンである。",undated,馬鈴薯の管理｜味のちぬやグループ,https://chinuya.com/safety/potatoes/,company,unknown
s2_outline_35,株式会社北海道ちぬやファーム,core28,3次,3,農林水産省北海道農政事務所は、同社を含む足寄町の産地パワーアップ事業について、馬鈴薯の集出荷・貯蔵施設整備と作付・販売額向上を扱う先行事例として公表している。,pre_or_contemporaneous,産地パワーアップ事業の取組事例（北海道）,https://www.maff.go.jp/hokkaido/suishin/seisan/attach/pdf/sanchipowerup-37.pdf,government,unknown
s2_outline_35,株式会社北海道ちぬやファーム,core28,3次,4,経済産業省掲載の足寄町基本計画は、馬鈴薯を基幹作物としつつ農業従事者減少や資材高騰を課題に挙げ、地域資源を使う食品製造・付加価値向上を促進対象としている。補助計画の産地保管・加工能力増強はこの地域課題と整合する。,pre_or_contemporaneous,北海道足寄町基本計画,https://www.meti.go.jp/policy/sme_chiiki/miraitoushi/kihonkeikaku/honbun/477_hokkaido_ashoro_honbun.pdf,government,2025
s2_outline_35,株式会社北海道ちぬやファーム,core28,3次,5,同社は2025年3月1日付のパートナーシップ構築宣言を公表しており、3次公募締切前に宣言が確認できる。,pre_or_contemporaneous,パートナーシップ構築宣言（株式会社北海道ちぬやファーム）,https://www.biz-partnership.jp/declaration/86110-09-00-hokkaido.pdf,government,2025-03-01
s2_outline_35,株式会社北海道ちぬやファーム,core28,3次,6,3次公募の公式採択一覧は、ちぬや冷食との共同申請と中国銀行による確認書提出を記録する。これは金融機関による計画確認の存在を示すが、採択理由そのものではない。,post_adoption,中堅・中小成長投資補助金 3次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,government,2025-06-30
s2_outline_19,株式会社高木製作所,core28,3次,1,同社は自動車用小物プレス部品・金型・表面処理を手掛け、トヨタ自動車、デンソー、ダイハツ、日野、トヨタ車体、豊田自動織機など計120社を主な取引先として挙げる。顧客基盤は実名で確認できる。,undated,会社概要｜高木製作所,https://takagi-mfg.co.jp/company,company,unknown
s2_outline_19,株式会社高木製作所,core28,3次,2,会社沿革では1950年にトヨタ協豊会へ加入し、2021年にトヨタ品質管理優秀賞、2024年にトヨタ技術開発賞を受賞した。長期取引と直近の技術評価が補助申請前に存在した。,pre_or_contemporaneous,会社概要・沿革｜高木製作所,https://takagi-mfg.co.jp/company,company,unknown
s2_outline_19,株式会社高木製作所,core28,3次,3,愛知県の愛知ブランド認定ページは、同社を自動車用小物プレス部品の世界的トップメーカーとし、独自の高木式生産システム、設計から表面処理までの一貫生産、金型設計のデータベース化、変種変量対応を評価している。,pre_or_contemporaneous,株式会社高木製作所｜愛知ブランド,https://www.aichi-brand.jp/corporate/auth-0204/,government,unknown
s2_outline_19,株式会社高木製作所,core28,3次,4,3次公募の公式採択一覧は、高木運輸との共同申請、岡崎・新城での多品種少量プレス部品自動化・物流システム構築、三菱UFJ銀行の確認書提出を記録する。,post_adoption,中堅・中小成長投資補助金 3次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,government,2025-06-30
s2_outline_24,高知食糧株式会社,core28,3次,1,"同社公式サイトは、既存精米工場を年間6,000トン超・県内最大級、無洗米県内シェア1位とし、精米HACCP取得も示す。2027年新工場では製造能力、収益性、物流、省力化、データ化、精密選別を改善するとしている。新工場説明は採択後公表である。",post_adoption,精米工場｜高知食糧,https://www.k-shoku.jp/business/rice-milling/factory/,company,unknown
s2_outline_24,高知食糧株式会社,core28,3次,2,"同社は高知県中心の600人超の米生産者を支援し年間6,000トン超を供給、食品卸では1,200件超の量販店・飲食店・ホテルと取引し、自社物流で四国まで配送する。産地と多数需要先をつなぐ地域基盤が確認できる。",undated,事業内容｜高知食糧,https://www.k-shoku.jp/business/,company,unknown
s2_outline_24,高知食糧株式会社,core28,3次,3,Gビズインフォは法人番号4490001000632、本店所在地高知市、政府由来の企業情報を掲載し、補助事業PDFと外部企業の同一性を確認できる。,undated,高知食糧株式会社｜Gビズインフォ,https://info.gbiz.go.jp/hojin/ichiran?hojinBango=4490001000632,government,unknown
s2_outline_24,高知食糧株式会社,core28,3次,4,3次公募の公式採択一覧は、計画名を「地域の食を支える精米工場・食品卸センター拠点整備」とし、四国銀行による確認書提出を記録する。,post_adoption,中堅・中小成長投資補助金 3次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,government,2025-06-30
s2_outline_171,オギハラ食品株式会社,core28,4次,1,同社は1916年創業の高菜専業メーカーで、製造工場2か所、原料漬込み工場1か所、原料倉庫2か所を運営する。日経POS高菜漬部門売上1位、食品衛生優良施設の厚生労働大臣表彰など、需要と品質の外部評価実績がある。,pre_or_contemporaneous,会社情報｜オギハラ食品,https://ogihara-foods.co.jp/company/,company,unknown
s2_outline_171,オギハラ食品株式会社,core28,4次,2,会社沿革は、過去にも増設で生産能力を5倍、2倍、1.5倍へ引き上げ、品質管理改革やX線異物探知を先行導入した経緯を示す。大型投資と衛生高度化を運用した履歴がある。,pre_or_contemporaneous,オギハラ食品の歩み,https://ogihara-foods.co.jp/company/,company,unknown
s2_outline_171,オギハラ食品株式会社,core28,4次,3,福岡県物産振興会は、同社を大牟田で大正5年から高菜漬を手掛ける県産品事業者として掲載し、三池高菜という地域ブランドとの結び付きを確認できる。,undated,高菜漬 オギハラ食品｜福岡県物産振興会,https://www.bussanfukuoka.jp/member/member-326/,other,unknown
s2_outline_171,オギハラ食品株式会社,core28,4次,4,農林水産省の伝統食図鑑は高菜漬を九州の伝統食として扱い、三池高菜を含む産地・契約栽培・食文化継承を紹介する。計画は一般食品の増産だけでなく、地域食文化の供給能力と衛生水準を高める性格を持つ。,pre_or_contemporaneous,高菜漬け｜にっぽん伝統食図鑑,https://www.maff.go.jp/j/keikaku/syokubunka/traditional-foods/menu/takana_zuke.html,government,unknown
s2_outline_171,オギハラ食品株式会社,core28,4次,5,4次公募の公式採択一覧は、大牟田市内の新拠点計画と福岡銀行による確認書提出を記録する。,post_adoption,中堅・中小成長投資補助金 4次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,government,2025-10-10
s2_outline_192,フクビ岡山株式会社,core28,4次,1,フクビ化学工業は2018年、積水化学からフェノールフォーム断熱ボード事業を譲り受け、製造子会社フクビ岡山を設立すると開示した。製品は最高クラスの断熱・防火性能を長期維持し、販路拡大を見込むと説明している。,pre_or_contemporaneous,事業譲受に関するお知らせ｜フクビ化学工業,https://f.irbank.net/pr/20180910/140120180910405331.pdf,finance,2018-09-10
s2_outline_192,フクビ岡山株式会社,core28,4次,2,親会社の技術・設備ページは、微細気泡に高断熱ガスを封じる独自のフェノール発泡成形技術をフクビ岡山工場で運用し、フェノバボードを製造すると説明する。,undated,技術・設備一覧｜フクビ化学工業,https://www.fukuvi.co.jp/technology/facility,company,unknown
s2_outline_192,フクビ岡山株式会社,core28,4次,3,国土交通省は、2025年度から原則すべての新築住宅・非住宅に省エネ基準適合を義務付ける制度改正を公表した。高性能断熱材に対する政策起点の市場拡大と整合する。,pre_or_contemporaneous,建築物省エネ法第10条 省エネ基準適合義務の対象拡大,https://www.mlit.go.jp/jutakukentiku/house/01.html,government,unknown
s2_outline_192,フクビ岡山株式会社,core28,4次,4,会社公式サイトは、岡山市の26人規模の製造子会社で、業界最高クラスの断熱性能を持つフェノバボードの開発・製造を担うと示す。交付決定の掲載は採択後である。,post_adoption,フクビ岡山株式会社 公式サイト,https://www.fukuvi-okayama.co.jp/,company,2026-02-06
s2_outline_192,フクビ岡山株式会社,core28,4次,5,4次公募の公式採択一覧は、福井県坂井市での事業実施と北陸銀行の確認書提出を記録する。既存岡山拠点から第2拠点へ展開する計画である。,post_adoption,中堅・中小成長投資補助金 4次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,government,2025-10-10
s2_outline_194,リバードコーポレーション株式会社,core28,4次,1,鳥取県は2019年、同社グループの高品質で独自性のあるレトルトペットフード事業が伸長し、アジア等の海外市場へ販路を拡大していると紹介した。採択より前に成長需要が第三者資料で確認できる。,pre_or_contemporaneous,リバードコーポレーション株式会社｜鳥取県女性活躍事例,https://www.pref.tottori.lg.jp/289009.htm,government,2019
s2_outline_194,リバードコーポレーション株式会社,core28,4次,2,同じ鳥取県資料は、グループ社員の半数が女性で、商品開発・品質管理への女性登用、2019年のえるぼし認定を紹介する。ただし認定主体はグループ内のリバードプロダクションと記載され、申請者本体への加点該当は別途確認が必要である。,pre_or_contemporaneous,リバードコーポレーション株式会社｜鳥取県女性活躍事例,https://www.pref.tottori.lg.jp/289009.htm,government,2019
s2_outline_194,リバードコーポレーション株式会社,core28,4次,3,鳥取県の地方創生予算資料は、同社グループの先行するペットフード工場投資（約22.34億円）と雇用計画（45人、うち正規43人）を支援対象として記録する。大型投資・雇用を実行した前歴がある。,pre_or_contemporaneous,鳥取県 地方創生による活力ある地域づくり関連資料,https://www.pref.tottori.lg.jp/secure/1190492/04tihousouseiniyorukaturyoku.pdf,government,2020
s2_outline_194,リバードコーポレーション株式会社,core28,4次,4,自社ブランドサイトは、鳥取発の犬猫向けピューレ、ミール、健康維持商品など多様なカテゴリーを直販しており、D2Cで商品開発から販売まで接続する事業モデルを確認できる。,undated,Brand Story｜RIVERD REPUBLIC,https://www.riverd-republic.com/pages/brand-story,company,unknown
s2_outline_194,リバードコーポレーション株式会社,core28,4次,5,4次公募の公式採択一覧は、鳥取銀行と日本政策金融公庫の2機関による確認書提出を記録する。,post_adoption,中堅・中小成長投資補助金 4次公募 採択案件一覧,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,government,2025-10-10
