case_id,company,population,application_round,identity_check,fact_n,unique_url_n,pre_or_contemporaneous_n,post_adoption_n,undated_n,primary_source_n,score_total,strong_feature_n,demand,capacity_constraint,business_transformation,regional_supply_chain,policy_fit,execution_finance,crisis_or_succession,external_validation,plausible_reason,counterevidence,confidence,research_gaps
s2_outline_99,株式会社シュゼット・ホールディングス,core28,3次,補助事業PDFのスタジオ・シュゼットとの共同申請、兵庫県西宮市の製造拠点、アンリ・シャルパンティエ等のブランドを、公式会社沿革・受賞資料と公式採択一覧で照合した。,4,4,4,0,0,4,20,8,3,3,2,2,2,3,2,3,8年連続の世界販売記録、海外店舗、国際的製菓技術という需要・ブランドの検証可能性が高く、既存賃貸工場の契約満了、排水能力上限、老朽設備という供給停止リスクを新工場で同時解消する案件だった。数字の中央値より、実需の確度とBCP・供給継続性が評価された可能性がある。,ギネス記録や大会受賞はブランド力を示すが、新工場の限界利益や海外需要量を直接証明しない。既存賃貸契約満了条件も外部資料では独立確認できない。,High,主要販売先の発注予測、既存工場賃貸契約、排水許容量、移転期間の供給継続計画は未確認。
s2_outline_232,株式会社モリシタ,core28,3次,一般名に近い社名のため、広島市のペットフード・用品卸であること、共同申請者ホワイトフォックス、工場・物流統合計画を、両社公式サイト、中国経済産業局記事、公式採択一覧と照合した。,5,5,2,1,2,5,17,7,2,2,3,2,2,3,0,3,全国販路を持つ卸と既存の高付加価値ブランドを一体化し、外注製造から自社製造・物流までを統合するメーカーベンダー転換である。需要の出口、商品差別化、地元原料調達、金融機関確認が揃い、売上成長率だけでは捉えにくい垂直統合効果が評価された可能性がある。,取引先名は確認できるが、新工場製品の購入コミットや数量は公開されていない。パートナーシップ宣言は申請を契機とするため、長期の実績ではなく加点目的を含む可能性がある。,Medium,新工場の製造品目別需要、OEM解約条件、HACCP取得時期、輸出契約、広島銀行の融資条件は未確認。
s2_outline_35,株式会社北海道ちぬやファーム,core28,3次,補助事業PDFの所在地（北海道足寄郡足寄町）、グループ構成（ちぬや冷食との共同申請）、馬鈴薯保管・選別事業が、味のちぬやグループ公式サイトおよび足寄町基本計画の記載と一致する。,6,6,4,1,1,6,21,7,2,3,3,3,3,3,1,3,"申請指標が中央値未満でも、補助事業は単なる設備更新ではなく、北海道の馬鈴薯産地から香川の冷凍食品工場までを結ぶ既存サプライチェーンのボトルネック（長期保管、選別、加工能力）を一体で解く計画である。既存6,000トン拠点、過去の農政事業、共同申請、金融機関確認、締切前のパートナーシップ構築宣言が、需要・供給網・実行可能性の説明を補強した可能性が高い。",公開ウェブ資料だけでは、補助投資に対応する顧客の発注書、数量コミット、投資回収計画は確認できない。足寄町基本計画への社名掲載は個別の地域経済牽引事業計画承認を意味せず、採択後の公式一覧も審査得点を示さない。,High,補助投資前の外部倉庫費、廃棄率、契約農家数、顧客別需要予測、地域経済牽引事業計画の個別承認有無を確認できれば因果仮説をさらに検証できる。
s2_outline_19,株式会社高木製作所,core28,3次,補助事業PDFの本社（名古屋市中区正木）、岡崎・新城の事業実施場所、自動車用小物プレス部品・金型事業が会社公式情報および3次公募一覧の法人番号9180001037718と一致する。,4,3,2,1,1,4,18,7,3,2,3,2,2,3,0,3,補助事業PDFの自動プレス、AGV、自動倉庫、溶接自動化、金型設計DXは、愛知県が既に確認していた多品種少量・短納期・独自設備という競争力を拡張するものだった。実名の大手完成車・部品顧客、トヨタからの技術・品質評価、高木運輸との共同申請、銀行確認により、単なる設備大型化ではなくEV期の変種変量需要に対応する統合生産物流モデルとして実現可能性が評価された可能性がある。,ウェブ上では補助投資に紐づく受注数量、顧客の増産要請書、既存設備稼働率を確認できない。顧客一覧は需要の存在を示すが、新投資による追加売上を保証しない。,High,製品別受注見通し、EV化で増減する部品構成、設備稼働率、共同申請者である高木運輸の物流削減KPI、加点認定の有無が未確認。
s2_outline_24,高知食糧株式会社,core28,3次,補助事業PDFの本社・精米工場（高知市朝倉南町）、米穀・食品卸・物流事業が会社公式サイトと一致し、3次公募一覧の法人番号4490001000632でも照合した。,4,4,0,2,2,4,21,7,3,3,3,3,3,3,1,2,"600人超の生産者、1,200件超の需要先、自社精米・卸・倉庫・物流という既存ネットワークがあり、新拠点は精米だけでなく保管・卸・物流を同時に再設計する。地域食料供給の基盤性、既存6,000トン規模とHACCP運用実績、銀行確認が、中央値未満の成長指標を補う「需要の広がりと実装力」として評価された可能性がある。",新工場に関する会社ページは採択後の説明であり、審査時点の受注・能力制約を独立に立証しない。生産者・取引先数は規模を示すが、増産需要や収益改善幅の外部検証はない。,Medium,既存工場の稼働率、繁忙期シフト、人手不足数、廃棄・物流コスト、顧客別需要予測、米生産者との長期契約、加点認定の有無が未確認。
s2_outline_171,オギハラ食品株式会社,core28,4次,補助事業PDFの所在地（福岡県大牟田市）、三池高菜・業務用/OEM製品、既存2製造工場という記載が会社公式ページおよび福岡県物産振興会の企業情報と一致する。,5,4,3,1,1,4,22,7,3,3,3,3,3,3,1,3,市場での売上1位や長期ブランドが示す需要、分散した2工場を統合する能力制約、FSSC水準を意識したゾーニング・品質保証、テストキッチンによるOEM開発を一体化する計画である。伝統的な三池高菜を全国の量販・外食へ供給する地域産業性と、過去の能力増強を実行した履歴が、定量中央値未満でも成長の蓋然性を支えた可能性がある。,POS受賞は既存商品の強さであり、新工場の追加需要を直接保証しない。主要顧客名、受注残、現工場稼働率、FSSC取得予定の第三者資料は公開ウェブでは確認できない。,High,量販・外食・コンビニ別の顧客構成、供給制限で失った受注、OEM商談パイプライン、契約高菜農家数、加点認定の有無を追加確認したい。
s2_outline_192,フクビ岡山株式会社,core28,4次,補助事業PDFの岡山市所在地、高性能フェノールフォーム断熱材「フェノバボード」、フクビ化学工業100%子会社という属性を、2018年の親会社開示と会社公式サイトで照合した。,5,5,2,2,1,5,20,7,3,3,3,2,3,3,0,3,建築物省エネ基準の全面義務化という明確な政策需要に対し、既存1ラインの能力制約を解き、親会社の販売網と独自製法を使って第2拠点化する計画である。2018年の事業譲受から製造を安定運用した履歴、上場親会社の技術・販路、銀行確認が、企業単体の可視指標以上に実行確度と市場タイミングを支えた可能性が高い。,省エネ基準義務化は断熱材市場全体の追い風であり、フェノバボード固有の受注増を保証しない。競合能力、市場シェア、既存ライン稼働率、受注残は公開資料で確認できない。,High,親会社IRの製品別売上・受注、既存ライン能力と稼働率、第2工場の顧客割当、原料調達リスク、地域経済牽引事業計画等の加点認定を確認したい。
s2_outline_194,リバードコーポレーション株式会社,core28,4次,補助事業PDFの鳥取市賀露町、レトルト系ペットフード、リバードグループという記載を鳥取県公式事例、企業ブランドサイト、4次公募一覧で照合した。,5,4,3,1,1,5,20,7,3,3,3,3,2,3,0,3,採択前から県が確認した国内外需要、過去22億円規模の工場投資と雇用実績、D2Cブランド、品質管理体制がある。補助計画はレトルト工程の回転数と包装ボトルネックを自動化し、商品カテゴリー拡大まで結び付けるため、「既に伸びている事業の明確な制約解除」として高い蓋然性があった可能性がある。,県資料の需要・投資実績はグループ単位を含み、申請者単体の損益・設備稼働率とは一致しない。えるぼしも別法人リバードプロダクションの認定で、申請者本体の加点を断定できない。,High,申請者と製造子会社の役割・収益帰属、主要OEM顧客、受注残、FSSC認証範囲、地域未来牽引企業の申請者本体での該当、えるぼし加点の適用主体を確認したい。
s2_outline_210,南島酒販株式会社,core28,4次,補助事業PDFの沖縄県西原町本社、泰石酒造の承継、石垣島での清酒蔵新設が、南島酒販公式発表とおきなわアセットブリッジのM&A支援資料で一致する。,5,5,3,1,1,5,22,8,2,2,3,3,3,3,3,3,この案件の強みは通常の増産指標では捉えにくい。設備老朽化・後継者不在で消滅しかけた沖縄唯一の清酒製造を、強い酒類流通会社が承継し、石垣米・泡盛蔵との協業・酒粕循環を組み込んで再構築する。地域未来牽引企業、既存販路、公的事業の履行歴、銀行確認が、文化・供給網保存と事業化能力の双方を裏付けた可能性が高い。,新しい石垣清酒の市場規模、予約・受注、価格受容性は外部資料で十分確認できず、休業を伴う新設は実行リスクが高い。社会的意義が大きくても採算性を自動的に保証しない。,High,石垣米の調達契約、清酒免許・製造許可、請福酒造との契約、販売予約、観光連携、投資回収、地域経済牽引事業計画承認の有無を確認したい。
s2_outline_116,奥伊吹観光株式会社,core28,4次,補助事業PDFの滋賀県米原市、グランスノー奥伊吹、宿泊型リゾート化という記載が、奥伊吹グループ公式サイト、米原市PFI資料、滋賀銀行資料と一致する。,5,5,3,1,1,5,20,7,2,3,3,3,3,3,0,3,多数の日帰り客を持つスキー場に宿泊容量が乏しいという明確な収益制約を、50室ホテルで滞在・消費へ転換する計画である。PFI施設運営、複数観光施設、グリーンボンドによる発電所投資、DMO連携、銀行確認が、観光需要の季節性を越えて地域一体型リゾートを実行できる運営力として評価された可能性がある。,補助事業PDF以外の公開資料では25万人という来場者数やホテル稼働率予測を独立確認できず、宿泊需要への転換率は不確実である。スキー需要は天候・季節・インバウンドに左右される。,High,来場者の宿泊意向調査、周辺宿泊供給、ADR・稼働率、季節別損益、旅行会社契約、地域経済牽引事業計画や観光関連加点の該当を確認したい。
s2_outline_168,明和工業株式会社,core28,4次,補助事業PDFの新潟市本社、水道・エンジニアリング事業、共同申請者ヨシカワ機械が、会社公式沿革、M&A発表、4次公募一覧と一致する。,5,5,3,1,1,5,23,8,2,3,3,3,3,3,3,3,買収したヨシカワ機械の加工技術を新工場・5軸加工・NC設備・人材育成へ接続し、外注依存を減らして水インフラ機器の国内一貫供給へ転換する計画である。地域未来牽引企業、全国水道ネットワーク、災害対応、M&Aの明確な統合ロジック、2金融機関の確認が、単体指標以上に供給網強靱化と実行可能性を示した可能性が高い。,水道の公共性や地域未来牽引企業認定は、補助投資の収益性やM&A統合成功を保証しない。公開資料では受注残、外注費削減額、工場稼働率、買収先の財務状態を確認できない。,High,M&A契約の事業承継背景、ヨシカワ機械の顧客・収益、外注内製化KPI、公共水道案件の受注見込み、共同申請内の資産・雇用配分、地域経済牽引事業計画承認を確認したい。
s2_outline_218,株式会社エム・ケー・ケー,core28,4次,補助事業PDFの松本市深志、旧井上百貨店、既存ホテル事業という記載を、松本市の大規模小売店舗資料、会社概要、取得発表及び4次採択一覧と照合した。,4,4,2,2,0,4,20,7,2,1,3,3,3,3,2,3,百貨店閉店後の駅前ランドマークを外資系ライフスタイルホテル・商業複合拠点へ再生する計画は、単なる客室増設ではなく中心市街地の空洞化対策と事業転換を兼ねる。同社の従前からの対象建物への関与と金融機関確認も実行可能性を補った可能性がある。,物件取得、ホテルブランド契約及び客室数の確定は採択後である。申請時に契約又は基本合意が存在したかは公表されず、公開PDFにはテナント未定部分もあり、需要・資金計画の事前確度を外部から直接検証できない。,Medium,申請時点の不動産売買契約・マリオットLOI、既存ホテル稼働率、テナント予約、改修許認可、中心市街地活性化計画との正式な位置付けは未確認。
s2_outline_115,株式会社コスモス食品,core28,4次,補助事業PDFの兵庫県三田市、フリーズドライ食品、RTE・海外展開という記載を、同社の会社・工場・OEM情報、食品安全認証及び4次採択一覧と照合した。,4,4,2,0,2,4,15,7,2,2,2,2,2,3,0,2,"累計5,000品目のOEM開発、食品安全認証、大型連続式設備、地域農産物の商品化及び海外工場という既存資産があり、RTE・海外市場向け能力増強をゼロからの新規事業ではなく実績あるプラットフォームの拡張として評価し得る。",補助事業PDFが示す能力40%増、RTE需要及び輸出成長を裏付ける顧客発注・契約・稼働率は外部確認できない。公開された交付資料には「XX」等の編集残りがあり、公開版だけで需要の精度を評価することには限界がある。,Medium,既存FD設備の稼働率、顧客別内示、輸出契約、RTE市場に対する具体的受注、追加設備の発注・許認可は未確認。
s2_outline_149,株式会社サン海苔,core28,4次,補助事業PDFの佐賀市、佐賀海苔加工、生産者系企業という記載を、会社概要、輸出協議会、NanoTerasu事例及び4次採択一覧と照合した。,4,4,4,0,0,3,20,8,2,2,2,3,3,3,2,3,本件は一加工会社の能力増強にとどまらず、漁協が98.3%を保有する地域共同インフラのHACCP対応・自動化・輸出基盤整備と読める。気候変動による色落ちという危機、輸出協議会、産学官研究、漁業系金融機関確認が地域波及と政策整合を強く補った可能性がある。,新工場の受注量、既存ライン稼働率、輸出契約及び能力不足量は外部資料で直接確認できない。NanoTerasu研究は品質・原料リスクへの対応を示すが、補助対象設備の採算性を直接保証しない。,High,漁協組合員への価格波及、輸出国別契約、HACCP認証取得工程、既存加工能力と原料入荷量のギャップは未確認。
s2_outline_221,株式会社ニシムタ,core28,4次,補助事業PDFの鹿児島市、スーパーセンター、惣菜セントラルキッチンという記載を、会社・店舗情報、鹿児島市協定、パートナーシップ構築宣言及び4次採択一覧と照合した。,5,5,4,0,1,5,19,7,2,2,3,3,3,3,0,3,既存の大規模店舗網と各店手作り惣菜を中央工場へ束ね、小売企業に食品製造・商品開発機能を内製化する垂直統合案件である。地域雇用規模、自治体との地域貢献協定、パートナーシップ宣言、地元銀行確認が、定量中央値以外の地域波及・実行力を補った可能性がある。,"公開店舗情報だけでは、全店の厨房制約、廃棄率、人手不足、中央工場移管による粗利改善を定量検証できない。会社の従業員3,598人にはパート・アルバイトが多く、補助金上の常時使用従業員数とは定義が異なる可能性がある。",High,惣菜カテゴリの既存売上・廃棄率・粗利、移管対象店舗数、工場用地・食品営業許可、パートナーシップ宣言を実際に加点申告したかは未確認。
s2_outline_159,株式会社ファーストライン,core28,4次,補助事業PDFの和歌山市、冷凍・冷蔵輸配送、FORWARDグループ、第4低温物流センターという属性が、会社公式サイト、国交省ホワイト物流宣言、過去補助事例と一致する。,5,5,2,1,2,4,20,7,2,2,3,3,3,3,1,3,既存3拠点と輸配送網を基盤に、超低温を含む5温度帯を一拠点で扱い、食品・医療の厳格な温度管理需要と物流2024年問題を同時に解く。過去の3温度帯センター運用、ホワイト物流宣言、グループ配送網、銀行確認が、新設倉庫を単なる不動産投資ではなく地域コールドチェーンの希少な基盤として説明した可能性がある。,会社公式サイトの第4センター記載は採択後更新を含む。医療・食品顧客の契約名、予約面積、既存庫稼働率、和歌山県内での競合・需給ギャップは公開資料で確認できない。,High,温度帯別の予約契約、既存倉庫稼働率、荷主集中度、共同配送による車両・CO2・労働時間削減KPI、超低温医療物流の許認可、加点認定の有無を確認したい。
s2_outline_121,株式会社ヤマキ食品,core28,4次,補助事業PDFの新潟市赤塚、漬物、大根契約農家、新工場という記載を、会社・契約農家情報、食品展示会資料及び4次採択一覧と照合した。,4,4,2,0,2,3,22,8,3,3,2,3,3,3,2,3,"競合撤退による需要集中という補助事業PDFの事情に加え、7,000トン全量を地域農家から調達し、収穫機導入まで支援する長期供給網が外部確認できる。多品種・小ロット自動化は自社成長だけでなく地域農業の安定収入と加工機能維持に結び付くため、中央値未満を補う地域波及・代替困難性があった可能性が高い。",競合撤退企業名、移管需要量、受注内示及び現工場の稼働率は外部資料で確認できず、需要制約の核心は補助事業PDFに依存する。国内漬物市場全体の縮小リスクもある。,High,競合撤退後の顧客契約、PB受注、農家別作付面積、新工場の食品許可・設備発注、価格転嫁・農家所得への波及額は未確認。
s2_outline_195,株式会社レクザム,core28,4次,補助事業PDFの西条工場、電子回路実装基板、自動生産モデル工場という記載を、会社沿革、国内外製造拠点、基板検査装置情報及び4次採択一覧と照合した。,5,5,3,0,2,5,18,7,2,2,3,2,3,3,0,3,本件は自社開発の検査技術と国内外の大量実装経験を西条工場へ組み込み、後工程まで自動化したモデル工場に変える案件である。既存工場取得実績、医療品質認証、地域未来牽引企業、リース会社共同申請、銀行確認が、成長率中央値とは別の技術的模倣困難性と実行可能性を補った可能性がある。,西条工場案件に固有の顧客発注、設備稼働率、納期遅延又は能力不足量は外部確認できない。地域未来牽引企業の選定が実際に加点申告されたか、必要な目標設定資料を期限までに提出したかも非公開である。,Medium,西条工場の顧客別内示・稼働率、三菱HCキャピタルの設備範囲、香川銀行確認の評価内容、地域未来牽引企業加点申告書類は未確認。
s2_outline_137,株式会社博多屋,core28,4次,補助事業PDFの法人番号、本社所在地、佐世保駅前で既存2ホテルを運営するという記載を、観光庁登録簿、佐世保商工会議所の企業ページ及び4次採択一覧と照合した。,3,3,2,0,1,2,18,7,2,2,2,3,3,3,0,3,既存282室に98室を加える計画は、駅前の既存運営基盤、観光庁登録、基地関連需要への対応実績を利用した地域観光拠点の増強である。数値指標が低くても、既存2館との一体運営、所有地活用、金融機関確認により実行可能性と地域波及を説明できた可能性がある。,客室稼働率、予約超過、顧客別需要、佐世保市の宿泊需給ギャップを示す外部資料は確認できない。商工会議所ページの更新時点も不明で、米海軍取引が新館需要にどの程度寄与するかは推論にとどまる。,Medium,既存2館の月次稼働率・ADR、新館ブランド契約、建築確認、観光需要予測、中小企業から中堅企業への移行宣誓書の提出有無は未確認。
s2_outline_172,株式会社環境整備産業,core28,4次,補助事業PDFの大分県、産業廃棄物、焼却・中和施設という記載を、会社の許認可・顧客情報、大分県との協定、県内宣言企業一覧及び4次採択一覧と照合した。,5,5,5,0,0,5,22,7,3,3,3,3,3,3,1,3,"補助事業PDFが示す県外搬出比率と受入拒否案件に、外部確認できる2,000社超の顧客、自治体回収、特別管理廃棄物許可、循環協定が重なる。県内最大規模の焼却・中和設備で地域内処理を可能にする計画は、成長率だけで測れない許認可型インフラの供給制約解消・地域レジリエンスとして評価された可能性が高い。",県外搬出65.8%・61.3%、TSMC視察、受入拒否件数及び施設不足量は補助事業PDF以外で確認できない。焼却施設は環境許可・住民合意・建設工程のリスクが高く、採択時点の許認可進捗も非公開である。,High,生活環境影響調査、都市計画・産廃処分業許可、住民説明、顧客予約・持込契約、処理単価、県外搬出量の公的統計との照合は未確認。
