round,treated_case_id,treated_company,control_case_id,control_company,treated_demand,control_demand,diff_demand,treated_capacity_constraint,control_capacity_constraint,diff_capacity_constraint,treated_business_transformation,control_business_transformation,diff_business_transformation,treated_regional_supply_chain,control_regional_supply_chain,diff_regional_supply_chain,treated_policy_fit,control_policy_fit,diff_policy_fit,treated_execution_finance,control_execution_finance,diff_execution_finance,treated_crisis_or_succession,control_crisis_or_succession,diff_crisis_or_succession,treated_external_validation,control_external_validation,diff_external_validation
3次,s2_outline_35,株式会社北海道ちぬやファーム,s2_outline_69,松村フーズ株式会社,2,2,0,3,2,1,3,2,1,3,2,1,3,2,1,3,3,0,1,0,1,3,2,1
3次,s2_outline_19,株式会社高木製作所,s2_outline_62,株式会社エネルギーギャップ,3,2,1,2,2,0,3,3,0,2,3,-1,2,3,-1,3,2,1,0,1,-1,3,3,0
3次,s2_outline_24,高知食糧株式会社,s2_outline_109,株式会社ヤマイシ,3,3,0,3,2,1,3,2,1,3,3,0,3,3,0,3,3,0,1,1,0,2,3,-1
4次,s2_outline_171,オギハラ食品株式会社,s2_outline_127,株式会社キィポーション,3,2,1,3,2,1,3,3,0,3,3,0,3,3,0,3,3,0,1,2,-1,3,3,0
4次,s2_outline_192,フクビ岡山株式会社,s2_outline_134,池田薬品工業株式会社,3,3,0,3,2,1,3,3,0,2,3,-1,3,3,0,3,3,0,0,2,-2,3,3,0
4次,s2_outline_194,リバードコーポレーション株式会社,s2_outline_152,株式会社大熊製作所,3,3,0,3,3,0,3,3,0,3,2,1,2,2,0,3,3,0,0,1,-1,3,3,0
4次,s2_outline_210,南島酒販株式会社,s2_outline_167,株式会社カネヒロ,2,2,0,2,2,0,3,3,0,3,3,0,3,2,1,3,3,0,3,0,3,3,3,0
4次,s2_outline_116,奥伊吹観光株式会社,s2_outline_131,株式会社中村畜産,2,2,0,3,2,1,3,3,0,3,3,0,3,2,1,3,3,0,0,0,0,3,2,1
4次,s2_outline_168,明和工業株式会社,s2_outline_144,株式会社シー・エス・ケイ,2,2,0,3,2,1,3,3,0,3,2,1,3,2,1,3,3,0,3,1,2,3,3,0
4次,s2_outline_159,株式会社ファーストライン,s2_outline_113,株式会社アダチ,2,2,0,2,2,0,3,2,1,3,2,1,3,2,1,3,3,0,1,0,1,3,3,0
4次,s2_outline_137,株式会社博多屋,s2_outline_154,アルフレッド株式会社,2,3,-1,2,2,0,2,3,-1,3,1,2,3,3,0,3,3,0,0,1,-1,3,3,0
4次,s2_outline_218,株式会社エム・ケー・ケー,s2_outline_136,木本製菓株式会社,2,1,1,1,1,0,3,3,0,3,2,1,3,2,1,3,3,0,2,2,0,3,3,0
4次,s2_outline_115,株式会社コスモス食品,s2_outline_175,化成工業株式会社,2,2,0,2,3,-1,2,2,0,2,2,0,2,3,-1,3,3,0,0,0,0,2,3,-1
4次,s2_outline_149,株式会社サン海苔,s2_outline_119,株式会社群馬コイケ,2,3,-1,2,2,0,2,3,-1,3,2,1,3,2,1,3,3,0,2,1,1,3,3,0
4次,s2_outline_221,株式会社ニシムタ,s2_outline_219,株式会社ナリコマフード,2,3,-1,2,3,-1,3,3,0,3,3,0,3,3,0,3,3,0,0,2,-2,3,3,0
4次,s2_outline_121,株式会社ヤマキ食品,s2_outline_158,株式会社セントラルフード,3,3,0,3,3,0,2,3,-1,3,2,1,3,2,1,3,3,0,2,1,1,3,2,1
4次,s2_outline_195,株式会社レクザム,s2_outline_122,杉プラスチック工業株式会社,2,2,0,2,3,-1,3,3,0,2,2,0,3,3,0,3,3,0,0,1,-1,3,3,0
4次,s2_outline_172,株式会社環境整備産業,s2_outline_132,株式会社コハラ,3,2,1,3,1,2,3,3,0,3,3,0,3,3,0,3,3,0,1,1,0,3,3,0
