pair_index,pair_round,treated_case_id,treated_company,treated_round_original,treated_application_round,treated_pair_round_match,treated_round_source_url,control_case_id,control_company,control_round_original,control_application_round,control_pair_round_match,control_round_source_url,pair_application_round_match,replacement_required,audit_action,audit_reason,original_match_distance,original_industry_exact_match,original_shared_scale_variable_n
11,3次,s2_outline_35,株式会社北海道ちぬやファーム,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,s2_outline_69,松村フーズ株式会社,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.8804978496428655,False,3
12,3次,s2_outline_19,株式会社高木製作所,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,s2_outline_62,株式会社エネルギーギャップ,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.5024661739347114,True,3
13,3次,s2_outline_24,高知食糧株式会社,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,s2_outline_109,株式会社ヤマイシ,3次,3次,true,https://seichotoushi-hojo.jp/assets/pdf/list_3ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.8353975506657088,True,3
14,4次,s2_outline_171,オギハラ食品株式会社,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,s2_outline_127,株式会社キィポーション,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.33818544415153573,True,4
15,4次,s2_outline_192,フクビ岡山株式会社,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,s2_outline_134,池田薬品工業株式会社,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.6139608877218887,True,3
16,4次,s2_outline_194,リバードコーポレーション株式会社,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,s2_outline_152,株式会社大熊製作所,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.6174718213113501,True,3
17,4次,s2_outline_210,南島酒販株式会社,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,s2_outline_167,株式会社カネヒロ,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.5884223132146821,True,3
18,4次,s2_outline_116,奥伊吹観光株式会社,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,s2_outline_131,株式会社中村畜産,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.7586219002670598,False,3
19,4次,s2_outline_168,明和工業株式会社,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,s2_outline_144,株式会社シー・エス・ケイ,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.4282656736255427,True,4
20,4次,s2_outline_159,株式会社　ファーストライン,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,s2_outline_113,株式会社アダチ,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.8386808898546173,False,3
21,4次,s2_outline_137,株式会社　博多屋,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,s2_outline_154,アルフレッド株式会社,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.7565151174202538,False,4
22,4次,s2_outline_218,株式会社エム・ケー・ケー,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,s2_outline_136,木本製菓株式会社,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.8911268600402662,True,4
23,4次,s2_outline_115,株式会社コスモス食品,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,s2_outline_175,化成工業株式会社,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.44325483961839185,True,3
24,4次,s2_outline_149,株式会社サン海苔,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,s2_outline_119,株式会社群馬コイケ,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.49335006115783364,True,3
25,4次,s2_outline_221,株式会社ニシムタ,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,s2_outline_219,株式会社ナリコマフード,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,1.0363726802370414,False,3
26,4次,s2_outline_121,株式会社ヤマキ食品,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,s2_outline_158,株式会社セントラルフード,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.5107433099249992,True,3
27,4次,s2_outline_195,株式会社レクザム,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,s2_outline_122,杉プラスチック工業株式会社,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.43444141485491783,True,3
28,4次,s2_outline_172,株式会社環境整備産業,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,s2_outline_132,株式会社コハラ,4次,4次,true,https://seichotoushi-hojo.jp/assets/pdf/list_4ji.pdf,true,false,keep_original_pair,Both members match the pair's application round after applying the official-list crosswalk; no replacement is required.,0.9038125898420464,False,3
